,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
218,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32,1988,28.6,0,10,1,10,0.35,0.03,0,0,13.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
219,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,23,1996,28.9,4,45,17,37.8,1.56,0.59,0.09,0.24,20.9,7,0,0,3.3,3.3,0.07,0.7,0.7
220,Álvaro Bastida\Alvaro-Bastida,es ESP,MF,Cádiz,es La Liga,16,2004,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
221,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,21,1999,32.5,0,11,2,18.2,0.34,0.06,0,0,10,0,0,0,1.2,1.2,0.11,-1.2,-1.2
222,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,it Serie A,23,1996,16.9,1,21,4,19,1.24,0.24,0.05,0.25,19.8,1,0,0,1.4,1.4,0.06,-0.4,-0.4
223,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,29,1991,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
224,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,26,1993,8.1,2,12,6,50,1.48,0.74,0.17,0.33,16.9,0,0,0,1.4,1.4,0.11,0.6,0.6
225,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,es La Liga,29,1991,27.7,1,17,5,29.4,0.61,0.18,0.06,0.2,15,0,0,0,1.2,1.2,0.07,-0.2,-0.2
226,Cristian Battocchio\Cristian-Battocchio,it ITA,MFFW,Brest,fr Ligue 1,28,1992,3.9,0,5,1,20,1.27,0.25,0,0,22.6,1,0,0,0.5,0.5,0.11,-0.5,-0.5
227,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
228,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,32,1988,11.9,2,7,4,57.1,0.59,0.34,0.29,0.5,14.6,0,0,0,1.4,1.4,0.19,0.6,0.6
229,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,20,1999,26.3,6,62,21,33.9,2.36,0.8,0.1,0.29,15.3,1,0,0,5.5,5.5,0.09,0.5,0.5
230,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,es La Liga,25,1995,4.1,0,12,3,25,2.92,0.73,0,0,12.9,0,0,0,1,1,0.08,-1,-1
231,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,32,1988,29,2,11,2,18.2,0.38,0.07,0.18,1,9,0,0,0,1.2,1.2,0.11,0.8,0.8
232,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,de Bundesliga,23,1996,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
233,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,26,1994,24.4,9,46,19,41.3,1.88,0.78,0.2,0.47,12.3,0,0,0,9.1,9.1,0.2,-0.1,-0.1
234,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,it Serie A,24,1996,30.9,1,11,2,18.2,0.36,0.06,0.09,0.5,8.9,0,0,0,0.9,0.9,0.09,0.1,0.1
235,Sheraldo Becker\Sheraldo-Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,25,1995,12.3,3,31,10,32.3,2.52,0.81,0.1,0.3,22,0,0,0,2,2,0.07,1,1
236,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,de Bundesliga,23,1997,18.2,0,5,1,20,0.27,0.05,0,0,20,0,0,0,0.2,0.2,0.03,-0.2,-0.2
237,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,24,1996,34.4,1,10,5,50,0.29,0.15,0.1,0.2,8.9,0,0,0,1,1,0.1,0,0
238,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,eng Premier League,23,1997,5.8,1,2,1,50,0.34,0.17,0.5,1,18.6,0,0,0,0.3,0.3,0.14,0.7,0.7
239,Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,it Serie A,35,1985,9.9,0,4,1,25,0.4,0.1,0,0,14.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4
240,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,de Bundesliga,28,1991,0.9,0,2,0,0,2.28,0,0,,28.2,0,0,0,0,0,0.02,0,0
241,Maximilian Beier\Maximilian-Beier,de GER,FW,Hoffenheim,de Bundesliga,17,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
242,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,28,1992,6.6,0,12,4,33.3,1.81,0.6,0,0,11.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6
243,Erwan Belhadji\Erwan-Belhadji,fr FRA,MF,Dijon,fr Ligue 1,19,2001,0.3,0,1,0,0,3,0,0,,23.9,0,0,0,0,0,0.03,0,0
244,Haris Belkebla\Haris-Belkebla,dz ALG,MF,Brest,fr Ligue 1,26,1994,30.3,0,7,0,0,0.23,0,0,,22.5,0,0,0,0.6,0.6,0.08,-0.6,-0.6
245,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,28,1991,14.1,1,7,2,28.6,0.5,0.14,0.14,0.5,13.4,0,0,0,0.4,0.4,0.06,0.6,0.6
246,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,30,1990,8.9,0,29,9,31,3.27,1.02,0,0,18,0,0,0,2.2,2.2,0.08,-2.2,-2.2
247,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,MFFW,Strasbourg,fr Ligue 1,22,1998,23.2,1,26,5,19.2,1.12,0.22,0.04,0.2,17.2,0,0,0,2.8,2.8,0.11,-1.8,-1.8
248,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,eng Premier League,25,1995,23.2,1,15,5,33.3,0.65,0.22,0.07,0.2,19.1,0,0,0,0.8,0.8,0.05,0.2,0.2
249,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17,2003,18.9,1,34,9,26.5,1.8,0.48,0.03,0.11,18.2,0,0,0,3,3,0.09,-2,-2
250,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,26,1993,32.1,13,102,34,33.3,3.18,1.06,0.09,0.26,16.9,8,4,5,13.8,9.9,0.1,-0.8,-0.9
251,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,es La Liga,21,1999,15.5,3,19,7,36.8,1.22,0.45,0.16,0.43,21.1,0,0,0,1.4,1.4,0.07,1.6,1.6
252,Sami Ben Amar\Sami-Ben-Amar,ma MAR,MF,Nîmes,fr Ligue 1,22,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
253,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Bordeaux,fr Ligue 1,33,1987,18.9,2,33,11,33.3,1.74,0.58,0.06,0.18,21.4,5,0,0,2.3,2.3,0.07,-0.3,-0.3
254,Salim Ben Seghir\Salim-Ben-Seghir,fr FRA,DF,Nice,fr Ligue 1,17,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
255,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,29,1990,29,20,68,22,32.4,2.35,0.76,0.15,0.45,16.9,5,10,12,19.1,10.1,0.15,0.9,-0.1
256,Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,it Serie A,28,1992,13.5,0,11,4,36.4,0.82,0.3,0,0,18.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8
257,Samy Benchama\Samy-Benchama,fr FRA,MFDF,Montpellier,fr Ligue 1,20,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
258,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,10.4,1,9,0,0,0.87,0,0,,16.7,0,1,1,1.2,0.5,0.05,-0.2,-0.5
259,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,13,0,3,1,33.3,0.23,0.08,0,0,11.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
260,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30,1990,17.5,5,37,14,37.8,2.11,0.8,0.11,0.29,15.6,0,1,1,7.6,6.8,0.18,-2.6,-2.8
261,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,de Bundesliga,22,1997,7.3,1,8,3,37.5,1.09,0.41,0.13,0.33,20.1,1,0,0,0.4,0.4,0.05,0.6,0.6
262,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,de Bundesliga,22,1997,1.7,0,2,0,0,1.2,0,0,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
263,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
264,Loris Benito\Loris-Benito,ch SUI,DF,Bordeaux,fr Ligue 1,28,1992,29.5,0,6,1,16.7,0.2,0.03,0,0,11,0,0,0,0.3,0.3,0.06,-0.3,-0.3
265,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,es La Liga,21,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
266,Bilal Benkhedim\Bilal-Benkhedim,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2001,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
267,Djamel Benlamri\Djamel-Benlamri,dz ALG,DF,Lyon,fr Ligue 1,30,1989,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
268,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,it Serie A,22,1997,14.7,0,12,1,8.3,0.81,0.07,0,0,25.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7
269,Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,eng Premier League,24,1995,15.5,1,35,11,31.4,2.26,0.71,0.03,0.09,19.9,1,0,0,2.3,2.3,0.07,-1.3,-1.3
270,Yassine Benrahou\Yassine-Benrahou,fr FRA,MF,Nîmes,fr Ligue 1,21,1999,13.8,0,19,4,21.1,1.38,0.29,0,0,23.7,5,0,0,0.8,0.8,0.04,-0.8,-0.8
271,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,25,1995,20.1,4,21,7,33.3,1.04,0.35,0.14,0.43,14.6,0,1,1,2.3,1.6,0.07,1.7,1.4
272,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,eng Premier League,20,1999,2.9,0,2,0,0,0.68,0,0,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2
273,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,25,1994,6.1,0,0,0,,0,0,,,,0,0,1,0.8,0,,-0.8,0
274,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,23,1997,25.8,0,15,5,33.3,0.58,0.19,0,0,22.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7
275,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.3,11.5,0,0,0,8.1,8.1,0.11,1.9,1.9
276,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,32,1987,32.2,23,122,50,41,3.79,1.55,0.18,0.44,15.1,6,1,1,17.8,17,0.14,5.2,5
277,Yassine Benzia\Yassine-Benzia,dz ALG,MFFW,Dijon,fr Ligue 1,25,1994,4.5,2,4,0,0,0.88,0,0,,26.5,0,2,2,1.8,0.3,0.08,0.2,-0.3
278,Alessandro Berardi\Alessandro-Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
279,Domenico Berardi\Domenico-Berardi,it ITA,FWMF,Sassuolo,it Serie A,25,1994,27.5,17,102,30,29.4,3.71,1.09,0.1,0.33,20.9,10,7,8,14.6,8.5,0.08,2.4,1.5
280,Gaetano Berardi\Gaetano-Berardi,ch SUI,DF,Leeds United,eng Premier League,31,1988,1.3,0,1,0,0,0.8,0,0,,9.4,0,0,0,0,0,0.03,0,0
281,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,es La Liga,30,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19,0,0,0,0.8,0.8,0.05,0.2,0.2
282,Álex Berenguer\Alex-Berenguer,es ESP,MF,Torino,it Serie A,25,1995,1.5,0,2,2,100,1.37,1.37,0,0,15.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3
283,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Athletic Club,es La Liga,25,1995,25.3,8,48,15,31.3,1.9,0.59,0.17,0.53,17,4,0,0,6.1,6.1,0.13,1.9,1.9
284,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,28,1992,29,1,3,1,33.3,0.1,0.03,0.33,1,16.8,0,0,0,0.1,0.1,0.04,0.9,0.9
285,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,eng Premier League,29,1990,15.1,2,19,8,42.1,1.25,0.53,0.11,0.25,19.9,1,0,0,1.7,1.7,0.09,0.3,0.3
286,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,eng Premier League,22,1998,12.4,1,9,1,11.1,0.72,0.08,0,0,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5
287,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,22,1997,13.4,1,15,5,33.3,1.12,0.37,0.07,0.2,16.3,0,0,0,2.5,2.5,0.17,-1.5,-1.5
288,Valon Berisha\Valon-Berisha,xk KVX,MF,Reims,fr Ligue 1,27,1993,18.3,0,21,3,14.3,1.15,0.16,0,0,21.1,3,0,0,1,1,0.05,-1,-1
289,Bernard\Bernard,br BRA,MFFW,Everton,eng Premier League,27,1992,5.1,1,6,2,33.3,1.19,0.4,0.17,0.5,20.4,0,0,0,0.2,0.2,0.03,0.8,0.8
290,Federico Bernardeschi\Federico-Bernardeschi,it ITA,DFMF,Juventus,it Serie A,26,1994,10.8,0,13,6,46.2,1.2,0.56,0,0,17.4,0,0,0,1.5,1.5,0.12,-1.5,-1.5
291,Bernardo\Bernardo,br BRA,DFMF,Brighton,eng Premier League,25,1995,2.3,0,4,0,0,1.75,0,0,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3
292,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
293,Juan Bernat\Juan-Bernat,es ESP,DF,Paris S-G,fr Ligue 1,27,1993,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
294,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22,1998,8.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
295,Marco Bertini\Marco-Bertini,it ITA,MF,Lazio,it Serie A,17,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
296,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,30,1989,28.9,0,8,3,37.5,0.28,0.1,0,0,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6
297,Daniel Bessa\Daniel-Bessa,it ITA,MFFW,Hellas Verona,it Serie A,27,1993,6.8,0,8,4,50,1.17,0.59,0,0,16.1,0,0,0,0.8,0.8,0.1,-0.8,-0.8
298,Loïc Bessile\Loic-Bessile,tg TOG,DF,Bordeaux,fr Ligue 1,21,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
299,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,de Bundesliga,20,2000,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
300,Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,de Bundesliga,18,2001,3,2,9,5,55.6,3,1.67,0.22,0.4,11.8,0,0,0,2.1,2.1,0.23,-0.1,-0.1
301,Giulian Biancone\Giulian-Biancone,fr FRA,DFMF,Monaco,fr Ligue 1,20,2000,1,0,1,0,0,0.98,0,0,,19.2,0,0,0,0,0,0.04,0,0
302,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,de Bundesliga,30,1990,1.4,1,2,1,50,1.41,0.7,0.5,1,4.7,0,0,0,0.4,0.4,0.18,0.6,0.6
303,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,es La Liga,29,1990,17,0,10,1,10,0.59,0.06,0,0,12.9,0,0,0,0.9,0.9,0.09,-0.9,-0.9
304,El Bilal Touré\El-Bilal-Toure,ml MLI,FWMF,Reims,fr Ligue 1,18,2001,13.8,4,20,9,45,1.45,0.65,0.2,0.44,10.8,0,0,0,2.4,2.4,0.12,1.6,1.6
305,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Fiorentina,it Serie A,27,1992,31.1,1,25,6,24,0.8,0.19,0.04,0.17,20.1,7,0,0,2,2,0.08,-1,-1
306,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,it Serie A,26,1994,10.2,0,2,0,0,0.2,0,0,,23.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
307,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,eng Premier League,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,25.3,2,0,0,1.2,1.2,0.03,-0.2,-0.2
308,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,de Bundesliga,26,1993,16.8,4,42,10,23.8,2.5,0.59,0.07,0.3,20.8,7,1,1,4.4,3.7,0.09,-0.4,-0.7
309,Blanco\Blanco,es ESP,MFDF,Real Madrid,es La Liga,20,2000,2.4,0,2,0,0,0.82,0,0,,29,0,0,0,0,0,0.02,0,0
310,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,es La Liga,21,1998,6.4,1,7,2,28.6,1.09,0.31,0.14,0.5,15.6,0,0,0,0.8,0.8,0.11,0.2,0.2
311,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,18.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
312,Ludovic Blas\Ludovic-Blas,fr FRA,MFFW,Nantes,fr Ligue 1,22,1997,31,10,72,24,33.3,2.33,0.78,0.14,0.42,18.9,0,0,0,6.8,6.8,0.09,3.2,3.2
313,Alejandro Blesa\Alejandro-Blesa,es ESP,MF,Levante,es La Liga,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
314,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,31,1988,26.3,1,8,3,37.5,0.3,0.11,0.13,0.33,18.2,0,0,0,0.3,0.3,0.04,0.7,0.7
315,Antonin Bobichon\Antonin-Bobichon,fr FRA,MFFW,Angers,fr Ligue 1,24,1995,10.1,0,22,3,13.6,2.17,0.3,0,0,22.8,3,0,0,1.1,1.1,0.05,-1.1,-1.1
316,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,es La Liga,25,1995,2.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
317,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,de Bundesliga,26,1994,22.9,2,29,9,31,1.26,0.39,0.07,0.22,19.3,0,0,0,2.8,2.8,0.1,-0.8,-0.8
318,Sacha Boey\Sacha-Boey,fr FRA,DF,Dijon,fr Ligue 1,19,2000,20.7,0,10,1,10,0.48,0.05,0,0,23.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
319,Sacha Boey\Sacha-Boey,fr FRA,DF,Rennes,fr Ligue 1,19,2000,1.4,0,1,0,0,0.73,0,0,,14.2,0,0,0,0.1,0.1,0.12,-0.1,-0.1
320,Jeremie Boga\Jeremie-Boga,ci CIV,FWMF,Sassuolo,it Serie A,23,1997,19.8,4,33,15,45.5,1.66,0.76,0.12,0.27,15.4,0,0,0,3.6,3.6,0.11,0.4,0.4
321,Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,de Bundesliga,18,2002,3.1,0,4,2,50,1.3,0.65,0,0,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
322,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,eng Premier League,20,2000,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,12.3,0,0,0,1.7,1.7,0.1,0.3,0.3
323,Quentin Boisgard\Quentin-Boisgard,fr FRA,MFFW,Lorient,fr Ligue 1,23,1997,14.6,2,24,7,29.2,1.64,0.48,0.08,0.29,21.1,3,0,0,1.9,1.9,0.08,0.1,0.1
324,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,eng Premier League,29,1991,20.9,1,14,3,21.4,0.67,0.14,0.07,0.33,12.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1
325,Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MF,Fiorentina,it Serie A,30,1989,25.1,3,43,11,25.6,1.72,0.44,0.07,0.27,19.6,1,0,0,2.8,2.8,0.06,0.2,0.2
326,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Torino,it Serie A,23,1997,6.3,2,21,6,28.6,3.35,0.96,0.1,0.33,16.7,0,0,0,1.6,1.6,0.07,0.4,0.4
327,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Sampdoria,it Serie A,23,1997,1.5,0,4,0,0,2.75,0,0,,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
328,Kevin Bonifazi\Kevin-Bonifazi,it ITA,DF,Udinese,it Serie A,24,1996,27.4,0,17,0,0,0.62,0,0,,13.8,0,0,0,1.4,1.4,0.08,-1.4,-1.4
329,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,it Serie A,33,1987,22.5,2,16,3,18.8,0.71,0.13,0.13,0.67,12.9,0,0,0,2.7,2.7,0.18,-0.7,-0.7
330,Elias Bördner\Elias-Bordner,de GER,GK,Eint Frankfurt,de Bundesliga,18,2002,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
331,Dennis Borkowski\Dennis-Borkowski,de GER,MF,RB Leipzig,de Bundesliga,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
332,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,de Bundesliga,21,1999,23.1,1,15,4,26.7,0.65,0.17,0.07,0.25,8.8,0,0,0,1.3,1.3,0.09,-0.3,-0.3
333,Sven Botman\Sven-Botman,nl NED,DF,Lille,fr Ligue 1,20,2000,36.8,0,16,5,31.3,0.44,0.14,0,0,13.8,1,0,0,1,1,0.06,-1,-1
334,Denis Bouanga\Denis-Bouanga,ga GAB,MFFW,Saint-Étienne,fr Ligue 1,25,1994,30.2,7,97,35,36.1,3.21,1.16,0.04,0.11,18.9,4,3,4,12.2,9.2,0.1,-5.2,-5.2
335,Hicham Boudaoui\Hicham-Boudaoui,dz ALG,MFFW,Nice,fr Ligue 1,20,1999,19.3,3,16,9,56.3,0.83,0.47,0.19,0.33,19.2,0,0,0,2.3,2.3,0.15,0.7,0.7
336,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,30,1990,7.2,0,11,3,27.3,1.52,0.41,0,0,24,2,0,2,2.3,0.7,0.07,-2.3,-0.7
337,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Angers,fr Ligue 1,26,1993,8.1,1,14,5,35.7,1.72,0.61,0.07,0.2,15.9,2,0,0,1.6,1.6,0.11,-0.6,-0.6
338,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,de Bundesliga,21,1999,6.7,1,14,6,42.9,2.08,0.89,0.07,0.17,17.2,0,0,0,1.4,1.4,0.1,-0.4,-0.4
339,Farid Boulaya\Farid-Boulaya,dz ALG,MFFW,Metz,fr Ligue 1,27,1993,31.3,6,77,26,33.8,2.46,0.83,0.06,0.19,26.3,26,1,2,5.5,4,0.05,0.5,1
