,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
177,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,28,1991,13.3,1,8,2,25,0.6,0.15,0.13,0.5,9.6,0,0,0,0.6,0.6,0.08,0.4,0.4
178,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,25,1995,13.3,7,44,19,43.2,3.31,1.43,0.16,0.37,13.5,0,0,0,5.8,5.8,0.13,1.2,1.2
179,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,27,1993,31,0,13,2,15.4,0.42,0.06,0,0,16.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1
180,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31,1989,10.2,11,38,19,50,3.72,1.86,0.29,0.58,18.2,7,0,0,5.3,5.3,0.15,5.7,5.7
181,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,18.8,0,3,1,33.3,0.16,0.05,0,0,30.5,1,0,0,0,0,0.02,0,0
182,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Marseille,fr Ligue 1,21,1999,18.2,2,13,4,30.8,0.72,0.22,0.15,0.5,8.2,0,0,0,1.8,1.8,0.14,0.2,0.2
183,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,23,1997,7.4,0,2,1,50,0.27,0.14,0,0,13,0,0,0,0.2,0.2,0.1,-0.2,-0.2
184,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18,2002,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
185,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,30,1990,15,0,1,1,100,0.07,0.07,0,0,15.6,0,0,0,0,0,0.05,0,0
186,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,24,1996,33.2,6,60,20,33.3,1.81,0.6,0.1,0.3,21.6,1,0,0,4.4,4.4,0.07,1.6,1.6
