,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
185,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,33,1987,32,32,2880,32,62,1.94,129,75,58.1,5,13,14,7,21.9,9,8,0,1,0
186,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,es La Liga,23,1996,1,1,71,0.8,0,0,1,1,100,0,0,1,0,0,0,0,0,0,
187,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,29,1991,28,28,2520,28,46,1.64,143,102,71.3,10,5,13,4,14.3,7,5,2,0,28.6
188,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,31,1988,31,31,2712,30.1,50,1.66,124,79,64.5,12,9,10,6,19.4,6,6,0,0,0
189,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,27,1993,28,28,2520,28,31,1.11,75,52,66.7,6,8,14,10,35.7,7,6,1,0,14.3
190,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28,1992,15,13,1261,14,21,1.5,48,28,58.3,9,1,3,2,15.4,2,1,1,0,50
191,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,25,1995,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,
192,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,25,1995,9,9,810,9,14,1.56,37,24,67.6,3,2,4,3,33.3,2,2,0,0,0
193,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,30,1990,30,30,2677,29.7,32,1.08,95,67,70.5,16,8,6,5,16.7,6,4,2,0,33.3
194,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,34,1986,1,1,90,1,3,3,6,4,66.7,0,1,0,0,0,1,1,0,0,0
195,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28,1992,31,31,2790,31,32,1.03,102,75,71.6,21,5,5,11,35.5,3,3,0,0,0
196,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,30,1990,4,2,272,3,4,1.32,10,7,60,0,1,1,2,100,1,0,1,0,100
197,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30,1990,33,33,2970,33,52,1.58,143,97,66.4,15,12,6,4,12.1,6,4,1,1,20
198,Samir Ujkani\Samir-Ujkani,xk KVX,GK,Torino,it Serie A,32,1988,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,
199,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,31,1989,5,5,450,5,5,1,14,9,64.3,3,0,2,2,40,0,0,0,0,
200,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,24,1995,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,
201,Guglielmo Vicario\Guglielmo-Vicario,it ITA,GK,Cagliari,it Serie A,23,1996,4,4,360,4,6,1.5,21,15,71.4,3,0,1,1,25,0,0,0,0,
202,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,23,1997,21,19,1781,19.8,30,1.52,72,47,66.7,7,5,7,5,26.3,7,6,1,0,14.3
203,João Virgínia\Joao-Virginia,pt POR,GK,Everton,eng Premier League,20,1999,1,0,48,0.5,0,0,3,3,100,0,0,0,0,,0,0,0,0,
204,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,es La Liga,26,1993,10,10,900,10,12,1.2,30,19,63.3,3,3,4,4,40,1,1,0,0,0
205,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,31,1988,4,3,300,3.3,3,0.9,5,2,40,0,1,2,0,0,0,0,0,0,
206,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,25,1994,31,31,2790,31,46,1.48,135,93,69.6,9,9,13,5,16.1,6,5,0,1,0
207,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,de Bundesliga,31,1989,1,0,51,0.6,1,1.76,2,2,100,0,0,0,0,,1,1,0,0,0
208,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,it Serie A,29,1991,7,7,603,6.7,12,1.79,26,17,65.4,3,1,3,1,14.3,3,3,0,0,0
