,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
99,Fran Álvarez\Fran-Alvarez,es ESP,MF,Valladolid,es La Liga,22,1998,0,,,,,0,,,0,,1,,,,,,,,,,,
100,Iker Álvarez\Iker-Alvarez,ad AND,GK,Villarreal,es La Liga,19,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
101,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,27,1568,58,45.8,17.4,17,84,,10,15,11,0.89,10,27,-17,-0.98,-0.68,12.8,25.2,-12.5,-0.72,-1.07
102,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,23,1948,85,57,21.6,22,87,,1,45,3,1.22,29,26,3,0.14,0.08,26.1,23.3,2.8,0.13,-0.21
103,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,38,1981,19,1632,86,47.7,18.1,18,90,,1,12,11,0.58,10,39,-29,-1.6,-0.84,14.1,31.6,-17.5,-0.97,-0.77
104,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,21,1998,15,896,60,26.2,10,10,76,,5,28,20,0.93,10,17,-7,-0.7,-0.74,11.2,10.3,0.9,0.09,-0.38
105,Alfons Amade\Alfons-Amade,de GER,DF,Hoffenheim,de Bundesliga,20,1999,0,,,,,0,,,0,,1,,,,,,,,,,,
106,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,24,1504,63,44,16.7,20,72,,4,15,0,1.25,13,19,-6,-0.36,0.2,17.5,20.4,-3,-0.18,0.11
107,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,2,116,58,3.4,1.3,1,70,,1,46,0,0,1,4,-3,-2.33,-1.1,0.4,5.4,-5,-3.88,-2.84
108,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,1,45,45,1.3,0.5,0,,,1,45,9,0,1,2,-1,-2,-1.63,0.9,1.2,-0.3,-0.59,-0.4
109,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,12,722,60,21.1,8,8,80,,4,21,14,1.54,13,14,-1,-0.12,-0.76,10.7,11,-0.3,-0.04,-0.32
110,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,13,813,63,23.8,9,10,80,,3,3,2,2.31,16,6,10,1.11,1.21,11.2,10.5,0.7,0.07,0.04
111,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,23,1997,23,753,33,22,8.4,5,62,,18,25,10,1.22,13,11,2,0.24,0.44,8.9,10.8,-1.9,-0.23,-0.02
112,Wisdom Amey\Wisdom-Amey,it ITA,DF,Bologna,it Serie A,14,2005,1,2,2,0.1,0,0,,,1,2,2,0,0,0,0,0,0.37,0,0,0,1.1,1.4
113,Bruno Amione\Bruno-Amione,ar ARG,DF,Hellas Verona,it Serie A,18,2002,0,,,,,0,,,0,,13,,,,,,,,,,,
114,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,29,1890,65,61.8,21,20,85,,9,21,0,1.62,39,24,15,0.71,0.79,29.5,24.7,4.8,0.23,0.07
