,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
2775,Marten de Roon\Marten-de-Roon,nl NED,MF,Atalanta,it Serie A,29,1991,35,3021,86,88.3,33.6,33,89,,2,40,0,2.03,78,42,36,1.07,-0.51,68.1,37.8,30.3,0.9,-0.12
2776,Antonio Rosati\Antonio-Rosati,it ITA,GK,Torino,it Serie A,37,1983,0,,,,,0,,,0,,20,,,,,,,,,,,
2777,Antonio Rosati\Antonio-Rosati,it ITA,GK,Fiorentina,it Serie A,37,1983,0,,,,,0,,,0,,15,,,,,,,,,,,
2778,Francesco Rossi\Francesco-Rossi,it ITA,GK,Atalanta,it Serie A,29,1991,0,,,,,0,,,0,,38,,,,,,,,,,,
2779,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,27,1993,20,1229,61,40.2,13.7,14,83,,6,12,6,1.7,24,17,7,0.51,-0.32,20.6,17.9,2.7,0.2,-0.04
2780,Nolan Roux\Nolan-Roux,fr FRA,FW,Nîmes,fr Ligue 1,32,1988,19,651,34,19,7.2,6,69,,13,18,9,0.42,3,13,-10,-1.38,-0.7,4.4,15.5,-11.1,-1.54,-1.14
2781,Nicolò Rovella\Nicolo-Rovella,it ITA,MF,Genoa,it Serie A,18,2001,20,1187,59,34.7,13.2,12,81,,8,26,16,1,14,23,-9,-0.68,-0.6,11.5,19.6,-8.1,-0.62,-0.27
2782,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Napoli,it Serie A,26,1994,16,1094,68,32,12.2,12,86,,4,15,16,2.19,30,15,15,1.23,0.07,22.9,15.5,7.4,0.61,-0.11
2783,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36,1984,3,187,62,5.5,2.1,3,62,,0,,12,0.67,3,5,-2,-0.96,-0.71,3.7,5.1,-1.4,-0.68,-0.34
2784,Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,es La Liga,24,1995,10,375,38,11,4.2,5,64,,5,11,20,0.6,3,10,-7,-1.68,-1.21,2.4,7,-4.6,-1.11,-0.81
2785,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,33,1986,2,91,46,2.7,1,1,90,,1,1,36,0,0,1,-1,-0.99,-0.58,0.7,0.9,-0.2,-0.21,-0.06
2786,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,eng Premier League,27,1993,19,1710,90,50,19,19,90,,0,,13,2.05,23,10,13,0.68,0.21,29.5,12.2,17.3,0.91,0.18
2787,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,de Bundesliga,30,1990,25,1678,67,54.8,18.6,21,75,,4,24,1,1.2,26,29,-3,-0.16,-0.23,26.9,26.9,0,0,0.1
2788,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,de Bundesliga,30,1990,2,180,90,5.9,2,2,90,,0,,1,0,1,11,-10,-5,-3.41,1.4,7.5,-6.1,-3.06,-1.97
2789,Kevin Rüegg\Kevin-Ruegg,ch SUI,DFMF,Hellas Verona,it Serie A,21,1998,7,205,29,6,2.3,1,69,,6,23,18,0.86,2,3,-1,-0.44,-0.41,2.2,3.4,-1.2,-0.53,-0.38
2790,Dion Ruffo Luci\Dion-Ruffo-Luci,it ITA,MF,Bologna,it Serie A,19,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
2791,Daniele Rugani\Daniele-Rugani,it ITA,DF,Rennes,fr Ligue 1,26,1994,1,90,90,2.6,1,1,90,,0,,2,1,1,1,0,0,-0.32,1,0.9,0.1,0.11,-0.15
2792,Daniele Rugani\Daniele-Rugani,it ITA,DF,Cagliari,it Serie A,26,1994,16,1001,63,29.3,11.1,12,82,,4,4,2,1.25,8,17,-9,-0.81,-0.55,13.3,12.6,0.7,0.06,0.75
2793,Daniele Rugani\Daniele-Rugani,it ITA,DF,Juventus,it Serie A,26,1994,0,,,,,0,,,0,,2,,,,,,,,,,,
2794,Matteo Ruggeri\Matteo-Ruggeri,it ITA,DF,Atalanta,it Serie A,18,2002,6,208,35,6.1,2.3,3,60,,3,10,24,1.33,4,5,-1,-0.43,-1.67,2.7,4,-1.2,-0.54,-1.54
2795,Mário Rui\Mario-Rui,pt POR,DF,Napoli,it Serie A,29,1991,27,1669,62,48.8,18.5,17,86,,10,20,10,1.89,42,20,22,1.19,0,32.9,20.1,12.8,0.69,0.01
2796,Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,es La Liga,24,1996,28,1593,57,46.6,17.7,21,68,,7,22,8,1.5,17,25,-8,-0.45,-0.85,19.8,18.3,1.5,0.08,0.13
2797,Fabián Ruiz Peña\Fabian-Ruiz-Pena,es ESP,MF,Napoli,it Serie A,24,1996,33,2569,78,75.1,28.5,29,86,,4,17,1,2.06,65,32,33,1.16,-0.11,52.6,31.8,20.8,0.73,0.18
2798,Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,es La Liga,19,2001,1,67,67,2,0.7,1,67,,0,,2,0,0,2,-2,-2.69,-2.26,0,2.4,-2.4,-3.29,-2.97
2799,Kays Ruiz\Kays-Ruiz,ma MAR,FWMF,Paris S-G,fr Ligue 1,17,2002,7,186,27,5.4,2.1,1,67,,6,20,9,2.14,7,2,5,2.42,0.94,5.7,4.3,1.5,0.71,-0.5
2800,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,es La Liga,31,1989,27,2157,80,63.1,24,24,88,,3,18,7,1.63,33,31,2,0.08,0.23,28.4,27,1.4,0.06,0.12
2801,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,es La Liga,28,1992,2,180,90,5.3,2,2,90,,0,,32,0,3,6,-3,-1.5,-2.03,2.5,2.6,-0.1,-0.04,-0.44
2802,Georginio Rutter\Georginio-Rutter,fr FRA,FW,Hoffenheim,de Bundesliga,18,2002,9,241,27,7.9,2.7,2,68,,7,15,3,1.11,3,3,0,0,0.06,2.9,4.1,-1.2,-0.45,-0.44
2803,Georginio Rutter\Georginio-Rutter,fr FRA,FWMF,Rennes,fr Ligue 1,18,2002,4,44,11,1.3,0.5,0,,,4,11,5,2.5,1,2,-1,-2.05,-2.39,1.3,0.4,0.9,1.8,1.56
2804,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,28,1992,3,270,90,7.9,3,3,90,,0,,12,1.33,3,2,1,0.33,-0.1,5.9,2.3,3.6,1.2,1.04
2805,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,28,1992,11,990,90,28.9,11,11,90,,0,,1,0.91,14,19,-5,-0.45,-0.42,16.4,11,5.4,0.49,0.18
2806,Julian Ryerson\Julian-Ryerson,no NOR,DFMF,Union Berlin,de Bundesliga,22,1997,24,1069,45,34.9,11.9,10,87,,14,15,9,1.63,17,18,-1,-0.08,-0.45,14.2,14.7,-0.6,-0.05,-0.28
2807,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,27,1992,11,945,86,30.9,10.5,10,90,,1,45,9,0.36,6,24,-18,-1.71,0.12,5.7,20.2,-14.5,-1.38,-0.25
2808,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,de Bundesliga,27,1992,0,,,,,0,,,0,,2,,,,,,,,,,,
2809,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FW,Wolfsburg,de Bundesliga,26,1994,21,469,22,15.3,5.2,3,61,,18,16,10,1.9,7,8,-1,-0.19,-1.06,8.4,7.7,0.7,0.13,-0.1
2810,Roli Pereira de Sa\Roli-Pereira-de-Sa,fr FRA,MFFW,Nantes,fr Ligue 1,23,1996,6,56,9,1.6,0.6,0,,,6,9,11,2,0,2,-2,-3.21,-3.05,0.6,1.8,-1.2,-1.97,-1.8
2811,Idriss Saadi\Idriss-Saadi,dz ALG,FWMF,Strasbourg,fr Ligue 1,28,1992,7,125,18,3.7,1.4,0,,,7,18,5,0.43,1,3,-2,-1.44,-1.25,2.9,3,-0.1,-0.04,-0.2
2812,Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,27,1993,33,2909,88,85.1,32.3,33,88,,0,,1,1.33,41,47,-6,-0.19,1.22,36.3,49.4,-13.1,-0.4,-0.11
2813,Mathys Saban\Mathys-Saban,fr FRA,FW,Saint-Étienne,fr Ligue 1,18,2002,1,13,13,0.4,0.1,0,,,1,13,0,0,0,0,0,0,0.32,0.1,0.1,0,0.02,0.03
2814,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MF,RB Leipzig,de Bundesliga,26,1994,27,2026,75,66.2,22.5,24,82,,3,19,2,1.81,34,24,10,0.44,-1.12,41,21.3,19.7,0.87,-0.56
2815,Matteo Saccani\Matteo-Saccani,it ITA,DF,Sassuolo,it Serie A,19,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
2816,Alexis Saelemaekers\Alexis-Saelemaekers,be BEL,FW,Milan,it Serie A,21,1999,32,2016,63,58.9,22.4,27,70,,5,28,0,2.16,42,25,17,0.76,-0.27,40.7,27.5,13.2,0.59,-0.2
2817,Jorge Sáenz\Jorge-Saenz,es ESP,DF,Celta Vigo,es La Liga,23,1996,0,,,,,0,,,0,,8,,,,,,,,,,,
2818,Modibo Sagnan\Modibo-Sagnan,ml MLI,DF,Real Sociedad,es La Liga,21,1999,16,622,39,18.2,6.9,7,69,,9,15,19,1.44,11,12,-1,-0.14,-0.85,11.3,8,3.3,0.48,-0.18
2819,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,eng Premier League,23,1997,25,1560,62,45.6,17.3,19,74,,6,26,0,1.36,27,26,1,0.06,0.88,20.9,24.3,-3.5,-0.2,0.26
2820,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,es La Liga,19,2001,21,453,22,13.2,5,2,66,,19,17,16,0.67,5,7,-2,-0.4,0.18,8.1,7.3,0.8,0.17,0.45
2821,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,30,1990,27,2407,89,70.4,26.7,27,89,,0,,7,1.11,26,40,-14,-0.52,-0.35,28,35.4,-7.4,-0.28,-0.4
2822,Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,eng Premier League,18,2001,32,2553,80,74.6,28.4,30,83,,2,25,4,1.59,38,31,7,0.25,-0.69,38.4,30.4,8,0.28,0.16
2823,Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,fr Ligue 1,30,1990,29,2385,82,69.7,26.5,26,87,,3,44,1,1.59,40,37,3,0.11,-0.23,35.3,34.8,0.4,0.02,-0.08
2824,Moïse Sakava\Moise-Sakava,cm CMR,MF,Reims,fr Ligue 1,19,2000,1,8,8,0.2,0.1,0,,,1,8,1,3,0,0,0,0,0.21,0.2,0.1,0.2,1.84,2.57
2825,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,eng Premier League,30,1990,4,276,69,8.1,3.1,3,90,,1,6,8,1.5,4,8,-4,-1.3,-0.7,2.6,5.7,-3.2,-1.04,-0.41
2826,Jacopo Sala\Jacopo-Sala,it ITA,DF,Spezia,it Serie A,28,1991,6,375,63,11,4.2,4,71,,2,45,3,0.5,5,15,-10,-2.4,-2.1,3.7,10.3,-6.7,-1.6,-1.13
2827,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,eng Premier League,28,1992,37,3078,83,90,34.2,34,88,,3,29,0,1.78,59,41,18,0.53,-1.58,64.7,41,23.7,0.69,-0.23
2828,Eddy Salcedo\Eddy-Salcedo,it ITA,FWMF,Hellas Verona,it Serie A,18,2001,21,755,36,22.1,8.4,7,65,,14,21,12,0.86,11,10,1,0.12,0.22,13,7.8,5.2,0.62,1.03
2829,William Saliba\William-Saliba,fr FRA,DF,Nice,fr Ligue 1,19,2001,20,1800,90,52.6,20,20,90,,0,,0,1.35,24,28,-4,-0.2,-0.26,22.3,28.1,-5.8,-0.29,-0.34
2830,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36,1984,15,1350,90,39.5,15,15,90,,0,,20,2.13,26,14,12,0.8,0.8,19.4,15.8,3.5,0.24,-0.04
2831,José Salinas\Jose-Salinas,es ESP,DF,Elche,es La Liga,19,2000,0,,,,,0,,,0,,11,,,,,,,,,,,
2832,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,eng Premier League,21,1999,12,844,70,24.7,9.4,8,87,,4,38,11,0.92,10,19,-9,-0.96,-0.54,10.5,15.2,-4.6,-0.49,-0.24
2833,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,23,1997,28,1661,59,54.3,18.5,22,70,,6,20,0,1.32,30,28,2,0.11,0.24,24.2,29.9,-5.7,-0.31,-0.19
2834,Salvi\Salvi,es ESP,MFFW,Cádiz,es La Liga,29,1991,28,1933,69,56.5,21.5,25,72,,3,46,1,1.11,17,31,-14,-0.65,-0.17,14.5,30.6,-16,-0.75,-0.45
2835,Lazar Samardzic\Lazar-Samardzic,de GER,MFFW,RB Leipzig,de Bundesliga,18,2002,7,200,29,6.5,2.2,2,69,,5,13,18,1.71,3,1,2,0.9,0.08,2.7,1.8,1,0.43,-0.68
2836,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,de Bundesliga,24,1996,31,2563,83,83.8,28.5,31,83,,0,,1,1.26,45,47,-2,-0.07,-0.07,43.8,42.1,1.7,0.06,0.67
2837,Mama Samba Baldé\Mama-Samba-Balde,gw GNB,FW,Dijon,fr Ligue 1,24,1995,29,2161,75,63.2,24,24,83,,5,32,0,0.48,16,43,-27,-1.12,0.38,19.4,41.1,-21.7,-0.9,0.65
2838,Junior Sambia\Junior-Sambia,fr FRA,DFMF,Montpellier,fr Ligue 1,23,1996,36,2448,68,71.6,27.2,26,86,,10,22,2,1.5,44,48,-4,-0.15,-0.33,35.3,49,-13.6,-0.5,-0.13
2839,Luigi Samele\Luigi-Samele,it ITA,FW,Sassuolo,it Serie A,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
2840,Frédéric Sammaritano\Frederic-Sammaritano,fr FRA,FWMF,Dijon,fr Ligue 1,34,1986,30,1130,38,33,12.6,10,69,,20,22,2,0.43,9,26,-17,-1.35,-0.14,10.4,22.9,-12.5,-1,0.22
2841,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,es La Liga,23,1997,24,1460,61,42.7,16.2,17,80,,7,15,9,1.08,14,23,-9,-0.55,0.09,14.6,23.4,-8.7,-0.54,-0.26
2842,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Torino,it Serie A,24,1996,14,978,70,28.6,10.9,12,78,,2,23,1,1.21,13,14,-1,-0.09,0.57,13.4,17.3,-3.9,-0.36,-0.18
2843,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,es La Liga,24,1996,16,932,58,27.3,10.4,10,74,,6,32,3,1.06,15,20,-5,-0.48,-0.66,13.2,15.2,-1.9,-0.19,-0.28
2844,Juan Sanabria\Juan-Sanabria,uy URU,MF,Atlético Madrid,es La Liga,20,2000,0,,,,,0,,,0,,4,,,,,,,,,,,
2845,Oihan Sancet\Oihan-Sancet,es ESP,FWMF,Athletic Club,es La Liga,20,2000,24,1035,43,30.3,11.5,11,68,,13,22,14,1.29,12,6,6,0.52,0.6,12.6,9.5,3.1,0.27,0.07
2846,Renato Sanches\Renato-Sanches,pt POR,MF,Lille,fr Ligue 1,22,1997,23,1270,55,37.1,14.1,14,79,,9,18,2,2.13,23,9,14,0.99,-0.14,17.6,13.1,4.5,0.32,-0.47
2847,Juan Sánchez Miño\Juan-Sanchez-Mino,ar ARG,DFMF,Elche,es La Liga,30,1990,9,495,55,14.5,5.5,5,60,,4,49,6,0.78,4,9,-5,-0.91,-0.42,3.3,12.1,-8.8,-1.6,-1
2848,Alexis Sánchez\Alexis-Sanchez,cl CHI,FW,Inter,it Serie A,31,1988,30,1146,38,33.5,12.7,12,72,,18,15,2,2.47,37,13,24,1.88,0.7,28.4,14.4,14,1.1,0.22
2849,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,eng Premier League,24,1996,18,1486,83,43.5,16.5,17,87,,1,1,10,1.78,38,22,16,0.97,0.64,28.7,20.8,7.9,0.48,0.61
2850,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,es La Liga,33,1986,34,2638,78,77.1,29.3,29,89,,5,14,1,1.15,40,52,-12,-0.41,0.28,29.7,41.3,-11.5,-0.39,-0.07
2851,Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,es La Liga,23,1997,16,921,58,26.9,10.2,11,79,,5,11,7,0.75,5,18,-13,-1.27,-0.91,9.8,16.9,-7.1,-0.69,-0.41
2852,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Osasuna,es La Liga,19,2000,16,976,61,28.5,10.8,10,84,,6,23,3,1.5,16,13,3,0.28,0.79,14.9,15.3,-0.5,-0.04,0.44
2853,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,es La Liga,19,2000,1,49,49,1.4,0.5,1,49,,0,,9,3,1,0,1,1.84,0.74,0.7,1.1,-0.4,-0.79,-1.33
2854,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,eng Premier League,22,1997,27,2430,90,71.1,27,27,90,,0,,0,1.15,26,27,-1,-0.04,0.42,35.2,26.7,8.5,0.32,-0.18
2855,Jadon Sancho\Jadon-Sancho,eng ENG,FWMF,Dortmund,de Bundesliga,20,2000,26,2062,79,67.4,22.9,24,83,,2,30,1,1.85,45,28,17,0.74,-0.34,45.3,25.8,19.5,0.85,0.05
2856,Max Sanders\Max-Sanders,eng ENG,MF,Brighton,eng Premier League,21,1999,0,,,,,0,,,0,,2,,,,,,,,,,,
2857,Alex Sandro\Alex-Sandro,br BRA,DF,Juventus,it Serie A,29,1991,26,1858,71,54.3,20.6,20,86,,6,23,1,2.23,49,21,28,1.36,0.72,42,20.1,21.9,1.06,0.25
2858,Leroy Sané\Leroy-Sane,de GER,FWMF,Bayern Munich,de Bundesliga,24,1996,32,1805,56,59,20.1,18,77,,14,30,0,2.25,58,30,28,1.4,-0.54,45.2,24,21.1,1.05,0.07
2859,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,de Bundesliga,29,1990,14,1071,77,35,11.9,11,90,,3,27,1,0.5,12,24,-12,-1.01,1.21,11.9,22.6,-10.6,-0.89,0.48
2860,Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,es La Liga,34,1986,32,2084,65,60.9,23.2,24,79,,8,24,2,1.21,20,34,-14,-0.6,-0.81,20.6,33.1,-12.5,-0.54,-0.47
2861,Mohamed Sankoh\Mohamed-Sankoh,nl NED,FW,Stuttgart,de Bundesliga,16,2003,1,17,17,0.6,0.2,0,,,1,17,2,0,0,0,0,0,-0.03,0.2,0.4,-0.2,-1.23,-1.24
2862,Siriki Sanogo\Siriki-Sanogo,ci CIV,MF,Benevento,it Serie A,18,2001,1,10,10,0.3,0.1,0,,,1,10,6,1,0,0,0,0,0.92,0,0.1,0,-0.26,0.38
2863,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Marseille,fr Ligue 1,25,1994,12,826,69,24.2,9.2,10,78,,2,26,0,1.75,13,9,4,0.44,0.33,11.8,13.6,-1.8,-0.19,-0.31
2864,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Aston Villa,eng Premier League,25,1994,9,294,33,8.6,3.3,3,64,,6,17,2,1,2,4,-2,-0.61,-0.93,2.5,5.2,-2.7,-0.82,-0.9
2865,Nicola Sansone\Nicola-Sansone,it ITA,FWMF,Bologna,it Serie A,28,1991,26,1169,45,34.2,13,11,71,,15,26,1,1.23,16,15,1,0.08,0.68,18.3,20.9,-2.6,-0.2,0.15
2866,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Angers,fr Ligue 1,25,1995,3,270,90,7.9,3,3,90,,0,,0,2,2,2,0,0,0.51,4.9,2.9,2,0.66,0.98
2867,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Freiburg,de Bundesliga,25,1995,30,2209,74,72.2,24.5,28,78,,2,18,0,1.23,37,36,1,0.04,0.15,33.4,33,0.4,0.02,0.86
2868,Federico Santander\Federico-Santander,py PAR,FW,Bologna,it Serie A,29,1991,4,37,9,1.1,0.4,0,,,4,9,1,0.75,1,1,0,0,0.37,1.6,1,0.6,1.57,1.89
2869,Davide Santon\Davide-Santon,it ITA,DF,Roma,it Serie A,29,1991,10,586,59,17.1,6.5,7,70,,3,32,15,1.4,13,12,1,0.15,-0.13,11,10.8,0.2,0.03,-0.52
2870,Samir Santos\Samir-Santos,br BRA,DF,Udinese,it Serie A,25,1994,30,2216,74,64.8,24.6,24,88,,6,18,6,0.93,25,42,-17,-0.69,-0.77,31,31.1,-0.2,-0.01,0.67
2871,Sergio Santos\Sergio-Santos,es ESP,DF,Real Madrid,es La Liga,19,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
2872,Riccardo Saponara\Riccardo-Saponara,it ITA,FW,Fiorentina,it Serie A,28,1991,2,52,26,1.5,0.6,0,,,2,26,12,0,0,1,-1,-1.73,-1.44,0.7,0.7,0,-0.01,0.25
2873,Riccardo Saponara\Riccardo-Saponara,it ITA,FWMF,Spezia,it Serie A,28,1991,9,389,43,11.4,4.3,5,69,,4,11,3,1.33,8,7,1,0.23,0.85,7.4,5.3,2.1,0.49,1.22
2874,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FW,Atlético Madrid,es La Liga,22,1997,0,,,,,0,,,0,,14,,,,,,,,,,,
2875,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FW,Cádiz,es La Liga,22,1997,9,388,43,11.3,4.3,3,71,,6,29,9,0.44,7,7,0,0,0.65,6.6,6.7,-0.2,-0.04,0.58
2876,Pablo Sarabia\Pablo-Sarabia,es ESP,FWMF,Paris S-G,fr Ligue 1,28,1992,27,1320,49,38.6,14.7,13,82,,14,18,3,2.3,31,8,23,1.57,0.07,29.6,16.2,13.4,0.92,-0.44
2877,Josh Sargent\Josh-Sargent,us USA,FWMF,Werder Bremen,de Bundesliga,20,2000,32,2506,78,81.9,27.8,30,81,,2,46,0,0.97,25,44,-19,-0.68,-0.36,27.3,39.1,-11.7,-0.42,0.47
2878,Bouna Sarr\Bouna-Sarr,gn GUI,DF,Bayern Munich,de Bundesliga,28,1992,8,452,57,14.8,5,5,83,,3,12,17,2.25,13,9,4,0.8,-0.96,9.3,7.1,2.3,0.45,-0.67
2879,Bouna Sarr\Bouna-Sarr,gn GUI,DF,Marseille,fr Ligue 1,28,1992,2,76,38,2.2,0.8,0,,,2,38,0,0.5,1,1,0,0,-0.19,2.1,1.6,0.5,0.55,0.52
2880,Sidy Sarr\Sidy-Sarr,sn SEN,MF,Nîmes,fr Ligue 1,24,1996,9,463,51,13.5,5.1,6,73,,3,9,3,0.67,5,11,-6,-1.17,-0.41,6.6,8,-1.3,-0.26,0.42
2881,Martin Satriano\Martin-Satriano,it ITA,FW,Inter,it Serie A,19,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
2882,Marco Sau\Marco-Sau,it ITA,MFFW,Benevento,it Serie A,32,1987,24,785,33,23,8.7,9,59,,15,17,6,0.96,7,25,-18,-2.06,-1.48,8.3,15,-6.7,-0.76,-0.15
2883,Matthieu Saunier\Matthieu-Saunier,fr FRA,DF,Lorient,fr Ligue 1,30,1990,0,,,,,0,,,0,,2,,,,,,,,,,,
2884,Razvan Sava\Razvan-Sava,ro ROU,GK,Torino,it Serie A,18,2002,0,,,,,0,,,0,,3,,,,,,,,,,,
2885,Téji Savanier\Teji-Savanier,fr FRA,MF,Montpellier,fr Ligue 1,28,1991,27,2165,80,63.3,24.1,26,82,,1,37,0,1.56,43,35,8,0.33,1.05,36.2,39.8,-3.7,-0.15,0.85
2886,Kike Saverio\Kike-Saverio,es ESP,FW,Osasuna,es La Liga,21,1999,0,,,,,0,,,0,,8,,,,,,,,,,,
2887,Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,es La Liga,29,1991,33,2953,89,86.3,32.8,33,89,,0,,1,2.39,63,20,43,1.31,1.5,44.6,28.4,16.2,0.49,-0.17
2888,Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,West Brom,eng Premier League,28,1991,19,1487,78,43.5,16.5,17,85,,2,24,11,0.53,14,42,-28,-1.69,-1.09,10.4,32.8,-22.4,-1.35,-0.81
2889,Giorgio Scalvini\Giorgio-Scalvini,it ITA,DF,Atalanta,it Serie A,16,2003,0,,,,,0,,,0,,2,,,,,,,,,,,
2890,Gianluca Scamacca\Gianluca-Scamacca,it ITA,FW,Genoa,it Serie A,21,1999,26,1352,52,39.5,15,13,78,,13,26,5,0.88,20,23,-3,-0.2,0.15,15.4,20,-4.6,-0.31,0.22
2891,Gianluca Scamacca\Gianluca-Scamacca,it ITA,FW,Sassuolo,it Serie A,21,1999,0,,,,,0,,,0,,1,,,,,,,,,,,
2892,Dane Scarlett\Dane-Scarlett,eng ENG,FW,Tottenham,eng Premier League,16,2004,1,1,1,0,0,0,,,1,1,3,3,0,0,0,0,-0.61,0,0,0,0,-0.13
2893,Kevin Schade\Kevin-Schade,de GER,MF,Freiburg,de Bundesliga,18,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
2894,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,eng Premier League,28,1991,18,1246,69,36.4,13.8,13,86,,5,25,0,1.11,13,21,-8,-0.58,-0.25,13.1,17.8,-4.7,-0.34,0
2895,Aurélien Scheidler\Aurelien-Scheidler,fr FRA,FW,Dijon,fr Ligue 1,22,1998,10,342,34,10,3.8,3,82,,7,14,6,0.4,1,9,-8,-2.11,-0.94,2.1,10.8,-8.7,-2.29,-1.27
2896,Nicolás Schiappacasse\Nicolas-Schiappacasse,uy URU,MF,Sassuolo,it Serie A,21,1999,1,15,15,0.4,0.2,0,,,1,15,7,0,0,0,0,0,-0.21,0.1,0,0.1,0.53,0.42
2897,Pasquale Schiattarella\Pasquale-Schiattarella,it ITA,MF,Benevento,it Serie A,33,1987,29,2247,77,65.7,25,26,83,,3,27,2,0.79,27,52,-25,-1,-0.23,28.1,46.3,-18.2,-0.73,-0.25
2898,Patrik Schick\Patrik-Schick,cz CZE,FW,Leverkusen,de Bundesliga,24,1996,29,1866,64,61,20.7,20,81,,9,27,0,1.38,34,21,13,0.63,0.55,31.6,26.7,4.9,0.24,0.09
2899,Sven Schipplock\Sven-Schipplock,de GER,FWMF,Arminia,de Bundesliga,31,1988,32,744,23,24.3,8.3,5,71,,27,14,1,1.03,6,10,-4,-0.48,0.37,6.7,15.9,-9.2,-1.11,-0.5
2900,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,de Bundesliga,22,1997,32,2626,82,85.8,29.2,30,84,,2,47,0,1.72,51,33,18,0.62,-0.63,41.8,35.4,6.4,0.22,0.01
2901,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,23,1997,24,1654,69,54.1,18.4,18,86,,6,17,7,1.54,33,23,10,0.54,1.18,27.5,26.4,1.1,0.06,0.61
