,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
66,Daniel Fuzato\Daniel-Fuzato,br BRA,GK,Roma,it Serie A,23,1997,5,7,0,0,1,0,6.9,0.27,-0.1,-0.02,20,57,35.1,122,28,36.1,37,31,41.9,37.9,28,1,3.6,1,0.2,12.8
67,Manuel Gasparini\Manuel-Gasparini,it ITA,GK,Udinese,it Serie A,18,2002,0,0,0,0,0,0,0,,0,0,1,1,100,1,0,100,48,1,0,21,0,0,,0,0,
68,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,es La Liga,28,1992,8,9,1,0,3,1,7.5,0.32,-0.5,-0.06,61,161,37.9,179,24,60.3,50.4,64,82.8,65.5,59,5,8.5,1,0.13,11.2
69,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,29,1990,25.5,32,4,1,5,2,29.8,0.31,-0.2,-0.01,94,217,43.3,422,80,35.5,33.7,172,39,34.6,195,9,4.6,9,0.35,14.1
70,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,32,1987,34,55,6,0,4,3,51.9,0.27,0.9,0.03,256,653,39.2,1101,215,43.4,37.5,298,58.7,46.8,401,26,6.5,26,0.76,14.4
71,David Gil\David-Gil,es ESP,GK,Cádiz,es La Liga,26,1994,4,10,1,0,1,0,6.3,0.37,-3.7,-0.91,32,110,29.1,86,9,86,57.9,37,97.3,69.1,47,3,6.4,1,0.25,10.5
72,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,25,1995,24,26,4,0,3,1,24.7,0.32,-0.3,-0.01,117,270,43.3,550,82,34.5,35.4,118,67.8,52.5,135,7,5.2,23,0.96,16.3
73,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Rennes,fr Ligue 1,26,1993,22,25,3,0,0,0,25.3,0.32,0.3,0.01,99,229,43.2,538,115,29.6,31,131,53.4,43.9,158,17,10.8,17,0.77,15.3
74,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,fr Ligue 1,26,1993,5,10,3,0,2,1,9.9,0.3,0.9,0.17,28,94,29.8,121,28,43,39.4,67,62.7,49.6,78,8,10.3,3,0.6,12.8
75,Etienne Green\Etienne-Green,fr FRA,GK,Saint-Étienne,fr Ligue 1,20,2000,8,8,2,1,0,0,8.5,0.27,0.5,0.06,44,129,34.1,149,31,52.3,42.4,70,72.9,55.3,75,5,6.7,5,0.63,13.3
76,Lennart Grill\Lennart-Grill,de GER,GK,Leverkusen,de Bundesliga,21,1999,4,7,0,0,0,0,6.3,0.32,-0.7,-0.16,10,25,40,136,26,16.9,27.3,25,8,22.2,23,3,13,4,1,15.9
77,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,eng Premier League,33,1987,37,64,3,1,9,0,61.8,0.36,-2.2,-0.06,253,721,35.1,766,147,58.9,43.9,314,86,60.9,367,26,7.1,15,0.41,13.1
78,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,30,1990,33,30,3,0,2,0,24.5,0.29,-5.5,-0.17,137,275,49.8,1003,171,24.2,30.3,166,19.3,27.5,186,12,6.5,53,1.61,18.7
79,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,36,1984,36,33,4,1,3,1,29.5,0.24,-2.5,-0.07,126,261,48.3,913,149,23,28.8,177,28.8,31.1,281,16,5.7,14,0.39,12.1
80,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,eng Premier League,23,1997,12.5,12,0,0,4,0,12.3,0.26,0.3,0.02,41,110,37.3,220,61,35.9,35.4,94,33,33.5,105,9,8.6,14,1.12,15.3
81,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,es La Liga,27,1993,32.9,40,4,0,5,3,43.2,0.32,6.2,0.19,431,927,46.5,887,83,77.1,54.3,257,94.6,64.4,375,34,9.1,51,1.55,16.2
82,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,32,1987,15.5,16,2,0,1,1,15.8,0.33,0.8,0.05,94,181,51.9,427,69,28.3,31.9,123,48.8,41.7,92,7,7.6,7,0.45,14.3
83,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,27,1993,33.4,59,7,1,6,0,52.4,0.3,-6.6,-0.2,272,601,45.3,1111,117,45.2,39,215,46,40.4,269,9,3.3,23,0.69,14.1
84,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,30,1989,28.5,29,1,1,0,2,26.8,0.31,-0.2,-0.01,209,503,41.6,1215,180,35.9,34.8,176,38.1,34.2,209,21,10,31,1.09,16.2
85,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,35,1984,8,13,1,0,2,1,10.1,0.28,-1.9,-0.24,60,153,39.2,210,25,51,41.7,74,62.2,47.9,75,7,9.3,4,0.5,12.8
86,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,eng Premier League,27,1993,37,74,7,2,13,3,75.3,0.3,4.3,0.12,336,961,35,987,169,71.2,51.2,295,87.5,60.9,348,25,7.2,26,0.7,14.5
87,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,23,1996,8,14,1,0,1,1,9.7,0.28,-3.3,-0.41,63,142,44.4,191,43,48.7,39.3,56,87.5,60,58,3,5.2,1,0.13,12.9
88,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27,1993,3.2,1,0,0,0,1,1.7,0.35,1.7,0.53,21,56,37.5,75,9,56,44.3,20,70,56.5,30,2,6.7,0,0,11.5
89,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37,1983,24,31,3,1,3,0,29.4,0.31,-1.6,-0.07,199,421,47.3,522,79,53.1,42.1,193,74.6,56.2,204,12,5.9,5,0.21,11.5
90,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,21,1998,2,1,0,0,0,0,2.2,0.32,1.2,0.62,8,19,42.1,48,10,31.3,34.1,14,28.6,33.7,19,2,10.5,1,0.5,18.3
91,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,22,1997,33,54,5,1,3,1,48.3,0.28,-4.7,-0.14,138,337,40.9,940,200,29.5,30.2,276,21.7,25.3,282,20,7.1,17,0.52,13.3
92,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,21,1999,38,55,10,2,8,1,52.7,0.27,-1.3,-0.03,218,675,32.3,869,128,53.4,44.5,258,81.8,57.8,327,24,7.3,25,0.66,14.9
93,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,35,1985,2.7,12,0,0,5,1,8.7,0.36,-2.3,-0.85,11,35,31.4,50,7,44,38.2,26,50,39.3,23,0,0,3,1.13,15.1
94,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23,1997,35,62,8,1,6,2,52.4,0.29,-7.6,-0.22,221,455,48.6,982,165,37,36.6,282,32.6,34.5,341,26,7.6,15,0.43,12.9
95,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,34,1985,36.8,51,10,0,6,3,46.3,0.3,-1.7,-0.05,204,524,38.9,772,135,51.8,41.3,259,47.9,40.4,276,18,6.5,21,0.57,14.9
96,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29,1991,28,27,3,1,1,1,19.2,0.27,-6.8,-0.24,170,400,42.5,827,109,39.3,35.9,170,44.1,40.3,196,11,5.6,36,1.29,18.1
97,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,27,1993,32,45,8,2,4,1,38.8,0.27,-5.2,-0.16,341,860,39.7,698,62,82.4,57.7,299,95.3,69.9,333,33,9.9,14,0.44,13.5
98,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,28,1992,34.8,37,1,0,5,4,37.1,0.31,4.1,0.12,110,338,32.5,930,166,22,28.6,226,58.8,46.6,310,26,8.4,22,0.63,14.5
99,Karlo Letica\Karlo-Letica,hr CRO,GK,Sampdoria,it Serie A,23,1997,1,0,0,0,0,0,0.9,0.9,0.9,0.9,2,5,40,29,7,13.8,27,5,20,33.8,12,0,0,0,0,10.8
100,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,33,1986,38,45,10,0,3,3,47,0.28,5,0.13,202,489,41.3,799,158,46.3,37.3,268,44.4,36.7,366,18,4.9,16,0.42,13.4
101,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27,1993,1.5,3,0,0,0,0,3.1,0.38,0.1,0.04,5,17,29.4,53,13,26.4,30.5,7,42.9,37.9,12,1,8.3,1,0.67,14.2
102,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,29,1990,38,43,5,2,4,2,43.1,0.3,2.1,0.05,214,407,52.6,926,181,32.7,33.4,250,41.6,36.8,308,16,5.2,39,1.03,17.1
103,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,25,1994,20.2,29,3,1,4,3,26.7,0.3,0.7,0.04,82,200,41,562,106,28.6,31.5,101,38.6,36.5,115,8,7,16,0.79,16.3
104,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,33,1987,30.8,42,4,0,8,1,41.1,0.31,0.1,0,211,510,41.4,922,106,40.8,37.3,216,62,44.5,237,16,6.8,11,0.36,13.3
105,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,24,1995,38,23,1,0,7,2,25.8,0.23,4.8,0.13,153,437,35,832,191,34.9,35.3,238,61.8,52.2,286,23,8,26,0.68,15.5
