Rk,Player,Nation,Pos,Squad,Comp,Age,Born
129,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,ESP,FWMF,Eibar,es La Liga,21,1999
130,Nicolò Armini\Nicolo-Armini,ITA,DF,Lazio,it Serie A,19,2001
131,Stuart Armstrong\Stuart-Armstrong,SCO,MF,Southampton,eng Premier League,28,1992
132,Maximilian Arnold\Maximilian-Arnold,GER,MF,Wolfsburg,de Bundesliga,26,1994
133,Toluwalas Arokodare\Toluwalas-Arokodare,NGA,FW,Köln,de Bundesliga,19,2000
134,Sergio Arribas\Sergio-Arribas,ESP,FWDF,Real Madrid,es La Liga,18,2001
135,Kepa Arrizabalaga\Kepa-Arrizabalaga,ESP,GK,Chelsea,eng Premier League,25,1994
136,Tolgay Arslan\Tolgay-Arslan,GER,MF,Udinese,it Serie A,29,1990
137,Kwadwo Asamoah\Kwadwo-Asamoah,GHA,DFMF,Cagliari,it Serie A,31,1988
138,Santiago Ascacíbar\Santiago-Ascacibar,ARG,MF,Hertha BSC,de Bundesliga,23,1997
139,Sergio Asenjo\Sergio-Asenjo,ESP,GK,Villarreal,es La Liga,31,1989
140,Marco Asensio\Marco-Asensio,ESP,FWMF,Real Madrid,es La Liga,24,1996
141,Kristoffer Askildsen\Kristoffer-Askildsen,NOR,MF,Sampdoria,it Serie A,19,2001
142,Iago Aspas\Iago-Aspas,ESP,FW,Celta Vigo,es La Liga,32,1987
143,Roger Assalé\Roger-Assale,CIV,FWMF,Dijon,fr Ligue 1,26,1993
144,Miguel Atienza\Miguel-Atienza,ESP,MF,Eibar,es La Liga,21,1999
145,Youcef Attal\Youcef-Attal,ALG,DFMF,Nice,fr Ligue 1,24,1996
146,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,GAB,FW,Arsenal,eng Premier League,31,1989
147,Emil Audero\Emil-Audero,ITA,GK,Sampdoria,it Serie A,23,1997
148,Tommaso Augello\Tommaso-Augello,ITA,DF,Sampdoria,it Serie A,25,1994
149,Jean-Kévin Augustin\Jean-Kevin-Augustin,FRA,FW,Nantes,fr Ligue 1,23,1997
150,Ludwig Augustinsson\Ludwig-Augustinsson,SWE,DF,Werder Bremen,de Bundesliga,26,1994
151,Serge Aurier\Serge-Aurier,CIV,DF,Tottenham,eng Premier League,27,1992
152,Charlie Austin\Charlie-Austin,ENG,FW,West Brom,eng Premier League,31,1989
153,Ezequiel Ávila\Ezequiel-Avila,ARG,MFFW,Osasuna,es La Liga,26,1994
154,Taiwo Awoniyi\Taiwo-Awoniyi,NGA,FW,Union Berlin,de Bundesliga,22,1997
155,Mehmet-Can Aydin\Mehmet-Can-Aydin,GER,DF,Schalke 04,de Bundesliga,18,2002
156,Jordan Ayew\Jordan-Ayew,GHA,FWMF,Crystal Palace,eng Premier League,28,1991
157,Kaan Ayhan\Kaan-Ayhan,TUR,DF,Sassuolo,it Serie A,25,1994
