Unnamed: 0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3
Rk,MP,Starts,Min,90s
1459,20,3,386,4.3
1460,1,0,10,0.1
1461,1,1,90,1
1462,24,18,1570,17.4
1463,29,28,2458,27.3
1464,24,20,1837,20.4
1465,21,12,1008,11.2
1466,1,0,30,0.3
1467,34,19,1829,20.3
1468,34,34,2993,33.3
1469,27,25,2220,24.7
1470,15,1,196,2.2
1471,12,2,378,4.2
1472,29,29,2585,28.7
1473,27,20,1832,20.4
1474,16,16,1421,15.8
1475,12,4,498,5.5
1476,19,17,1553,17.3
1477,18,15,1242,13.8
1478,15,14,1204,13.4
1479,1,1,90,1
1480,14,8,713,7.9
1481,3,0,52,0.6
1482,37,33,2956,32.8
1483,38,38,3420,38
1484,18,11,945,10.5
1485,15,0,154,1.7
1486,34,32,2883,32
1487,23,11,1129,12.5
1488,1,1,60,0.7
1489,30,21,1909,21.2
1490,2,1,135,1.5
1491,8,7,637,7.1
1492,11,1,210,2.3
1493,5,4,377,4.2
1494,22,15,1412,15.7
1495,34,31,2747,30.5
1496,38,38,3420,38
1497,28,23,1783,19.8
1498,22,10,1067,11.9
1499,17,5,481,5.3
1500,9,1,248,2.8
1501,29,22,1864,20.7
1502,4,2,134,1.5
1503,21,20,1817,20.2
1504,17,4,505,5.6
1505,26,15,1424,15.8
1506,4,3,256,2.8
1507,30,24,2123,23.6
1508,1,0,8,0.1
1509,33,28,2379,26.4
1510,24,14,1386,15.4
1511,8,7,550,6.1
1512,7,1,85,0.9
1513,34,34,3060,34
1514,29,18,1523,16.9
1515,32,23,1965,21.8
1516,2,0,40,0.4
1517,8,1,172,1.9
1518,16,11,1011,11.2
1519,21,18,1604,17.8
1520,2,1,49,0.5
1521,6,6,520,5.8
1522,33,32,2846,31.6
1523,38,30,2439,27.1
1524,36,25,2428,27
1525,9,2,241,2.7
1526,5,2,179,2
1527,11,2,168,1.9
1528,20,17,1396,15.5
1529,33,32,2781,30.9
1530,36,32,2884,32
1531,29,21,1855,20.6
1532,32,24,2106,23.4
1533,16,8,718,8
1534,28,23,2032,22.6
1535,23,22,1879,20.9
1536,31,31,2768,30.8
1537,23,21,1959,21.8
1538,31,29,2418,26.9
1539,1,0,20,0.2
1540,21,13,1115,12.4
1541,32,21,2026,22.5
1542,1,0,8,0.1
1543,1,0,6,0.1
1544,6,6,539,6
1545,31,24,2099,23.3
1546,1,0,6,0.1
1547,25,25,1964,21.8
1548,28,25,2181,24.2
1549,8,2,297,3.3
1550,33,26,2214,24.6
1551,10,7,440,4.9
1552,25,15,1510,16.8
1553,13,7,603,6.7
1554,34,34,3047,33.9
1555,2,1,66,0.7
1556,2,0,34,0.4
1557,27,23,1949,21.7
1558,16,13,1034,11.5
1559,2,0,30,0.3
1560,31,31,2693,29.9
1561,38,38,3420,38
1562,11,5,490,5.4
1563,15,14,1230,13.7
1564,15,9,810,9
1565,17,11,804,8.9
1566,1,1,90,1
1567,15,5,552,6.1
1568,7,0,105,1.2
1569,17,5,522,5.8
1570,35,34,2728,30.3
1571,17,12,1207,13.4
1572,1,0,19,0.2
1573,28,8,860,9.6
1574,5,2,207,2.3
1575,2,0,33,0.4
1576,5,0,29,0.3
1577,36,22,1876,20.8
1578,1,1,58,0.6
1579,31,30,2602,28.9
1580,35,25,2338,26
1581,14,8,699,7.8
1582,12,4,458,5.1
1583,27,25,2309,25.7
1584,33,33,2852,31.7
