Unnamed: 0,Aerial Duels,Aerial Duels.1,Aerial Duels.2
Rk,Won,Lost,Won%
1368,47,50,48.5
1369,7,0,100
1370,45,34,57
1371,118,67,63.8
1372,110,39,73.8
1373,94,52,64.4
1374,11,10,52.4
1375,1,0,100
1376,22,22,50
1377,6,20,23.1
1378,28,31,47.5
1379,2,5,28.6
1380,17,9,65.4
1381,8,13,38.1
1382,10,14,41.7
1383,18,38,32.1
1384,24,11,68.6
1385,1,3,25
1386,5,21,19.2
1387,86,57,60.1
1388,1,1,50
1389,12,38,24
1390,32,14,69.6
1391,1,3,25
1392,48,15,76.2
1393,36,28,56.3
1394,29,15,65.9
1395,8,9,47.1
1396,5,6,45.5
1397,23,13,63.9
1398,11,30,26.8
1399,130,124,51.2
1400,30,61,33
1401,4,5,44.4
1402,71,63,53
1403,0,1,0
1404,66,36,64.7
1405,2,1,66.7
1406,40,33,54.8
1407,10,8,55.6
1408,18,22,45
1409,13,32,28.9
1410,5,17,22.7
1411,10,12,45.5
1412,5,12,29.4
1413,35,27,56.5
1414,0,0,0
1415,1,9,10
1416,40,98,29
1417,46,18,71.9
1418,92,39,70.2
1419,94,66,58.8
1420,0,0,0
1421,19,38,33.3
1422,24,62,27.9
1423,53,20,72.6
1424,24,21,53.3
1425,14,8,63.6
1426,27,38,41.5
1427,7,21,25
1428,7,12,36.8
1429,0,1,0
1430,21,14,60
1431,17,20,45.9
1432,26,26,50
1433,17,21,44.7
1434,29,25,53.7
1435,2,21,8.7
1436,24,35,40.7
1437,4,3,57.1
1438,140,62,69.3
