Player,Nation,Pos,Squad,Born
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,ENG,MF,West Brom,1997
Josh Maja\Josh-Maja,NGA,FWMF,Fulham,1998
Josh Maja\Josh-Maja,NGA,FW,Bordeaux,1998
Radosław Majecki\Radoslaw-Majecki,POL,GK,Monaco,1999
Abdul Majeed Waris\Abdul-Majeed-Waris,GHA,FWMF,Strasbourg,1991
Marco Majouga\Marco-Majouga,FRA,FWMF,Nîmes,2001
Jean-Victor Makengo\Jean-Victor-Makengo,FRA,MF,Udinese,1998
Nemanja Maksimović\Nemanja-Maksimovic,SRB,MF,Getafe,1995
Nikola Maksimović\Nikola-Maksimovic,SRB,DF,Napoli,1991
Adilson Malanda\Adilson-Malanda,FRA,MF,Nîmes,2001
Filip Malbašić\Filip-Malbasic,SRB,FWMF,Cádiz,1992
Kévin Malcuit\Kevin-Malcuit,MAR,DF,Fiorentina,1991
Kévin Malcuit\Kevin-Malcuit,MAR,MFFW,Napoli,1991
Daniel Maldini\Daniel-Maldini,ITA,FWMF,Milan,2001
Ruslan Malinovskyi\Ruslan-Malinovskyi,UKR,FWMF,Atalanta,1993
Yunus Mallı\Yunus-Malli,TUR,MF,Wolfsburg,1992
Hugo Mallo\Hugo-Mallo,ESP,DF,Celta Vigo,1991
Mickael Malsa\Mickael-Malsa,MTQ,MF,Levante,1995
Dennis Man\Dennis-Man,ROU,FWMF,Parma,1998
Hianga Mananga Mbock\Hianga-Mananga-Mbock,FRA,MF,Brest,1999
Vincent Manceau\Vincent-Manceau,FRA,DF,Angers,1989
Gianluca Mancini\Gianluca-Mancini,ITA,DF,Roma,1996
Steve Mandanda\Steve-Mandanda,FRA,GK,Marseille,1985
Reinildo Mandava\Reinildo-Mandava,MOZ,DF,Lille,1994
Aïssa Mandi\Aissa-Mandi,ALG,DF,Betis,1991
Rolando Mandragora\Rolando-Mandragora,ITA,MF,Udinese,1997
Rolando Mandragora\Rolando-Mandragora,ITA,MF,Torino,1997
Mario Mandžukić\Mario-Mandzukic,CRO,FW,Milan,1986
Sadio Mané\Sadio-Mane,SEN,FW,Liverpool,1992
Niccolò Manfredini\Niccolo-Manfredini,ITA,GK,Benevento,1988
Eliaquim Mangala\Eliaquim-Mangala,FRA,DF,Valencia,1991
Orel Mangala\Orel-Mangala,BEL,MF,Stuttgart,1998
Thomas Mangani\Thomas-Mangani,FRA,MF,Angers,1987
Vito Mannone\Vito-Mannone,ITA,GK,Monaco,1988
Kostas Manolas\Kostas-Manolas,GRE,DF,Napoli,1991
Javier Manquillo\Javier-Manquillo,ESP,DF,Newcastle Utd,1994
Juan Manuel Ramos\Juan-Manuel-Ramos,URU,DF,Spezia,1996
Myziane Maolida\Myziane-Maolida,FRA,FWMF,Nice,1999
Faitout Maouassa\Faitout-Maouassa,FRA,DF,Rennes,1998
Sekou Mara\Sekou-Mara,FRA,FW,Bordeaux,2002
Maranhão\Maranhao,BRA,FW,Valladolid,1996
Fernando Marçal\Fernando-Marcal,BRA,DF,Wolves,1989
Fernando Marçal\Fernando-Marcal,BRA,DF,Lyon,1989
Marcelo\Marcelo,BRA,DF,Real Madrid,1988
Marcelo\Marcelo,BRA,DF,Lyon,1987
Solly March\Solly-March,ENG,DF,Brighton,1994
Federico Marchetti\Federico-Marchetti,ITA,GK,Genoa,1983
Riccardo Marchizza\Riccardo-Marchizza,ITA,DF,Spezia,1998
Gian Marco Ferrari\Gian-Marco-Ferrari,ITA,DF,Sassuolo,1992
Iván Marcone\Ivan-Marcone,ARG,MF,Elche,1990
Óscar de Marcos\Oscar-de-Marcos,ESP,DFMF,Athletic Club,1989
Dario Maresic\Dario-Maresic,AUT,DF,Reims,1999
José Mari\Jose-Mari,ESP,MF,Cádiz,1987
Pablo Marí\Pablo-Mari,ESP,DF,Arsenal,1993
José María Giménez\Jose-Maria-Gimenez,URU,DF,Atlético Madrid,1995
Mariano\Mariano,DOM,FW,Real Madrid,1993
Jordan Marié\Jordan-Marie,FRA,MF,Dijon,1991
Adrián Marín\Adrian-Marin,ESP,DFMF,Alavés,1997
Adrián Marín\Adrian-Marin,ESP,DFFW,Granada,1997
Răzvan Marin\Razvan-Marin,ROU,MF,Cagliari,1996
Guillermo Maripán\Guillermo-Maripan,CHI,DF,Monaco,1994
Marlon\Marlon,BRA,DF,Sassuolo,1995
Omar Marmoush\Omar-Marmoush,EGY,FW,Wolfsburg,1999
Marquinhos\Marquinhos,BRA,DF,Paris S-G,1994
Luca Marrone\Luca-Marrone,ITA,DF,Crotone,1990
Roger Martí\Roger-Marti,ESP,FW,Levante,1991
Anthony Martial\Anthony-Martial,FRA,FW,Manchester Utd,1995
Aarón Martín\Aaron-Martin,ESP,DF,Celta Vigo,1997
Aarón Martín\Aaron-Martin,ESP,DF,Mainz 05,1997
Álex Martín\Alex-Martin,ESP,DF,Cádiz,1998
Jonas Martin\Jonas-Martin,FRA,MF,Rennes,1990
Martinelli\Martinelli,BRA,FW,Arsenal,2001
Lucas Martínez Quarta\Lucas-Martinez-Quarta,ARG,DF,Fiorentina,1996
Emiliano Martínez\Emiliano-Martinez,ARG,GK,Aston Villa,1992
Iñigo Martínez\Inigo-Martinez,ESP,DF,Athletic Club,1991
Javi Martínez\Javi-Martinez,ESP,MFFW,Osasuna,1999
Javi Martínez\Javi-Martinez,ESP,DFMF,Bayern Munich,1988
Josep Martinez\Josep-Martinez,ESP,GK,RB Leipzig,1998
Lautaro Martínez\Lautaro-Martinez,ARG,FW,Inter,1997
Pablo Martinez\Pablo-Martinez,FRA,DF,Nîmes,1989
Gelson Martins\Gelson-Martins,POR,MFFW,Monaco,1995
Adam Marušić\Adam-Marusic,MNE,DF,Lazio,1992
Sylvain Marveaux\Sylvain-Marveaux,FRA,MFFW,Lorient,1986
Marvin\Marvin,ESP,DFFW,Real Madrid,2000
Omar Mascarell\Omar-Mascarell,ESP,MF,Schalke 04,1993
Andrea Masiello\Andrea-Masiello,ITA,DF,Genoa,1986
Jordi Masip\Jordi-Masip,ESP,GK,Valladolid,1989
Roberto Massimo\Roberto-Massimo,GER,DFFW,Stuttgart,2000
Giuseppe Mastinu\Giuseppe-Mastinu,ITA,FW,Spezia,1991
Arthur Masuaku\Arthur-Masuaku,COD,DFFW,West Ham,1993
Jaime Mata\Jaime-Mata,ESP,FW,Getafe,1988
Juan Mata\Juan-Mata,ESP,FWMF,Manchester Utd,1988
Pape Matar Sarr\Pape-Matar-Sarr,SEN,MF,Metz,2002
Eliot Matazo\Eliot-Matazo,BEL,MF,Monaco,2002
Jean-Philippe Mateta\Jean-Philippe-Mateta,FRA,FW,Crystal Palace,1997
Jean-Philippe Mateta\Jean-Philippe-Mateta,FRA,FW,Mainz 05,1997
Nemanja Matić\Nemanja-Matic,SRB,MF,Manchester Utd,1988
Joël Matip\Joel-Matip,CMR,DF,Liverpool,1991
Rabbi Matondo\Rabbi-Matondo,WAL,FWMF,Schalke 04,2000
Ryder Matos\Ryder-Matos,BRA,MF,Udinese,1993
Henning Matriciani\Henning-Matriciani,GER,DF,Schalke 04,2000
Chrislain Matsima\Chrislain-Matsima,FRA,DF,Monaco,2002
Federico Mattiello\Federico-Mattiello,ITA,DF,Spezia,1995
Neal Maupay\Neal-Maupay,FRA,FWMF,Brighton,1996
Tony Mauricio\Tony-Mauricio,FRA,MF,Lens,1994
Stephy Mavididi\Stephy-Mavididi,ENG,FWMF,Montpellier,1998
Konstantinos Mavropanos\Konstantinos-Mavropanos,GRE,DF,Stuttgart,1997
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,CMR,FWMF,Bayern Munich,1989
Borja Mayoral\Borja-Mayoral,ESP,FW,Roma,1997
Borja Mayoral\Borja-Mayoral,ESP,FW,Real Madrid,1997
Youssef Maziz\Youssef-Maziz,FRA,MFFW,Metz,1998
Antonio Mazzotta\Antonio-Mazzotta,ITA,DF,Crotone,1989
Kevin Mbabu\Kevin-Mbabu,SUI,DF,Wolfsburg,1995
Kylian Mbappé\Kylian-Mbappe,FRA,FW,Paris S-G,1998
Ibrahima Mbaye\Ibrahima-Mbaye,SEN,DF,Bologna,1994
Jean-Manuel Mbom\Jean-Manuel-Mbom,GER,MFDF,Werder Bremen,2000
Nathanael Mbuku\Nathanael-Mbuku,FRA,MFFW,Reims,2002
James McArthur\James-McArthur,SCO,MF,Crystal Palace,1987
Oliver McBurnie\Oliver-McBurnie,SCO,FW,Sheffield Utd,1996
Alex McCarthy\Alex-McCarthy,ENG,GK,Southampton,1989
James McCarthy\James-McCarthy,IRL,MF,Crystal Palace,1990
John McGinn\John-McGinn,SCO,MF,Aston Villa,1994
David McGoldrick\David-McGoldrick,IRL,FWMF,Sheffield Utd,1987
Weston McKennie\Weston-McKennie,USA,MF,Juventus,1998
Dwight McNeil\Dwight-McNeil,ENG,MF,Burnley,1999
Scott McTominay\Scott-McTominay,SCO,MF,Manchester Utd,1996
Gary Medel\Gary-Medel,CHI,DFMF,Bologna,1987
Facundo Medina\Facundo-Medina,ARG,DF,Lens,1999
Nathan de Medina\Nathan-de-Medina,BEL,DF,Arminia,1997
Ben Mee\Ben-Mee,ENG,DF,Burnley,1989
Joshua Mees\Joshua-Mees,GER,FW,Union Berlin,1996
Admir Mehmedi\Admir-Mehmedi,SUI,MFFW,Wolfsburg,1991
Soualiho Meïté\Soualiho-Meite,FRA,MF,Torino,1994
Soualiho Meïté\Soualiho-Meite,FRA,MF,Milan,1994
Hannibal Mejbri\Hannibal-Mejbri,FRA,MF,Manchester Utd,2003
Farid El Melali\Farid-El-Melali,ALG,FWMF,Angers,1997
Filippo Melegoni\Filippo-Melegoni,ITA,MFDF,Genoa,1999
Gonzalo Melero\Gonzalo-Melero,ESP,MFFW,Levante,1994
Birger Meling\Birger-Meling,NOR,DF,Nîmes,1994
Arthur Melo\Arthur-Melo,BRA,MF,Juventus,1996
Houboulang Mendes\Houboulang-Mendes,FRA,DF,Lorient,1998
Pedro Mendes\Pedro-Mendes,POR,DF,Montpellier,1990
Thiago Mendes\Thiago-Mendes,BRA,MF,Lyon,1992
Brais Méndez\Brais-Mendez,ESP,MFFW,Celta Vigo,1997
Édgar Méndez\Edgar-Mendez,ESP,MFFW,Alavés,1990
Eñaut Mendía\Enaut-Mendia,ESP,FW,Eibar,1999
Batista Mendy\Batista-Mendy,FRA,MF,Nantes,2000
Benjamin Mendy\Benjamin-Mendy,FRA,DF,Manchester City,1994
Edouard Mendy\Edouard-Mendy,SEN,GK,Chelsea,1992
Edouard Mendy\Edouard-Mendy,SEN,GK,Rennes,1992
Ferland Mendy\Ferland-Mendy,FRA,DF,Real Madrid,1995
Nampalys Mendy\Nampalys-Mendy,SEN,MF,Leicester City,1992
Hamza Mendyl\Hamza-Mendyl,MAR,FW,Schalke 04,1997
Levent Mercan\Levent-Mercan,GER,FW,Schalke 04,2000
Jorge Meré\Jorge-Mere,ESP,DF,Köln,1997
Alex Meret\Alex-Meret,ITA,GK,Napoli,1997
Mikel Merino\Mikel-Merino,ESP,MF,Real Sociedad,1996
Martín Merquelanz\Martin-Merquelanz,ESP,FWMF,Real Sociedad,1995
Yıldırım Mert Çetin\Yildirim-Mert-Cetin,TUR,DF,Hellas Verona,1997
Dries Mertens\Dries-Mertens,BEL,FWMF,Napoli,1987
Roque Mesa\Roque-Mesa,ESP,MF,Valladolid,1989
Illan Meslier\Illan-Meslier,FRA,GK,Leeds United,2000
Lionel Messi\Lionel-Messi,ARG,FWMF,Barcelona,1987
Junior Messias\Junior-Messias,BRA,MFFW,Crotone,1991
Thomas Meunier\Thomas-Meunier,BEL,DF,Dortmund,1991
Mexer\Mexer,MOZ,DF,Bordeaux,1988
Max Meyer\Max-Meyer,GER,MF,Köln,1995
Omenuke Mfulu\Omenuke-Mfulu,COD,MF,Elche,1994
Míchel\Michel,ESP,MF,Valladolid,1988
Jonas Michel Dirkner\Jonas-Michel-Dirkner,GER,MF,Hertha BSC,2002
Jonas Michelbrink\Jonas-Michelbrink,GER,MF,Hertha BSC,2001
Clément Michelin\Clement-Michelin,FRA,DF,Lens,1997
Edouard Michut\Edouard-Michut,FRA,MF,Paris S-G,2003
Petar Mićin\Petar-Micin,SRB,MF,Udinese,1998
Florian Miguel\Florian-Miguel,FRA,DF,Nîmes,1996
Valentin Mihaila\Valentin-Mihaila,ROU,FWMF,Parma,2000
Nikola Milenković\Nikola-Milenkovic,SRB,DF,Fiorentina,1997
Arkadiusz Milik\Arkadiusz-Milik,POL,FW,Marseille,1994
Sergej Milinković-Savić\Sergej-Milinkovic-Savic,SRB,MF,Lazio,1995
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,SRB,GK,Torino,1997
Éder Militão\Eder-Militao,BRA,DF,Real Madrid,1998
Luka Milivojević\Luka-Milivojevic,SRB,MF,Crystal Palace,1991
Luis Milla\Luis-Milla,ESP,MF,Granada,1994
Pere Milla\Pere-Milla,ESP,FWMF,Elche,1992
Alejandro Millán\Alejandro-Millan,ESP,FW,Villarreal,1999
Vincenzo Millico\Vincenzo-Millico,ITA,FWMF,Torino,2000
Enzo Millot\Enzo-Millot,FRA,MF,Monaco,2002
James Milner\James-Milner,ENG,MFDF,Liverpool,1986
Santi Mina\Santi-Mina,ESP,FW,Celta Vigo,1995
Yerry Mina\Yerry-Mina,COL,DF,Everton,1994
Takumi Minamino\Takumi-Minamino,JPN,MFFW,Southampton,1995
Takumi Minamino\Takumi-Minamino,JPN,MFFW,Liverpool,1995
Tyrone Mings\Tyrone-Mings,ENG,DF,Aston Villa,1993
Óscar Mingueza\Oscar-Mingueza,ESP,DF,Barcelona,1999
Rafa Mir\Rafa-Mir,ESP,FW,Huesca,1997
Jorge Miramón\Jorge-Miramon,ESP,DF,Levante,1989
Aleksei Miranchuk\Aleksei-Miranchuk,RUS,FWMF,Atalanta,1995
Juan Miranda\Juan-Miranda,ESP,DF,Betis,2000
Antonio Mirante\Antonio-Mirante,ITA,GK,Roma,1983
Tyrick Mitchell\Tyrick-Mitchell,ENG,DF,Crystal Palace,1999
Aleksandar Mitrović\Aleksandar-Mitrovic,SRB,FW,Fulham,1994
Stefan Mitrović\Stefan-Mitrovic,SRB,DF,Strasbourg,1990
Maximilian Mittelstädt\Maximilian-Mittelstadt,GER,DF,Hertha BSC,1997
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,ARM,FWMF,Roma,1989
Jakub Moder\Jakub-Moder,POL,DFMF,Brighton,1999
Anthony Modeste\Anthony-Modeste,FRA,FW,Saint-Étienne,1988
Anthony Modeste\Anthony-Modeste,FRA,FWMF,Köln,1988
Luka Modrić\Luka-Modric,CRO,MF,Real Madrid,1985
Terem Moffi\Terem-Moffi,NGA,FW,Lorient,1999
Kevin Möhwald\Kevin-Mohwald,GER,MF,Werder Bremen,1993
Niklas Moisander\Niklas-Moisander,FIN,DF,Werder Bremen,1985
Dion Moise Sahi\Dion-Moise-Sahi,CIV,FWMF,Strasbourg,2001
Johan Mojica\Johan-Mojica,COL,DFFW,Atalanta,1992
Johan Mojica\Johan-Mojica,COL,DF,Elche,1992
Guillem Molina\Guillem-Molina,ESP,DF,Valencia,2000
Jorge Molina\Jorge-Molina,ESP,FWMF,Granada,1982
Nahuel Molina\Nahuel-Molina,ARG,DF,Udinese,1997
Salvatore Molina\Salvatore-Molina,ITA,MFDF,Crotone,1992
Victor Mollejo\Victor-Mollejo,ESP,MFDF,Getafe,2001
Florent Mollet\Florent-Mollet,FRA,MF,Montpellier,1991
Jayson Molumby\Jayson-Molumby,IRL,MF,Brighton,1999
Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,GUI,DFFW,Stuttgart,2002
Jon Moncayola\Jon-Moncayola,ESP,MF,Osasuna,1998
Gabriele Moncini\Gabriele-Moncini,ITA,FW,Benevento,1996
Thomas Monconduit\Thomas-Monconduit,FRA,MF,Lorient,1991
Kévin Monnet-Paquet\Kevin-Monnet-Paquet,FRA,MFFW,Saint-Étienne,1988
Nacho Monreal\Nacho-Monreal,ESP,DF,Real Sociedad,1986
Cristóbal Montiel Rodríguez\Cristobal-Montiel-Rodriguez,ESP,DFFW,Fiorentina,2000
Lorenzo Montipò\Lorenzo-Montipo,ITA,GK,Benevento,1996
Ángel Montoro\Angel-Montoro,ESP,MF,Granada,1988
Martín Montoya\Martin-Montoya,ESP,DF,Betis,1991
Emre Mor\Emre-Mor,TUR,FWMF,Celta Vigo,1997
Luca Mora\Luca-Mora,ITA,MF,Spezia,1988
Wesley Moraes\Wesley-Moraes,BRA,MFFW,Aston Villa,1996
Álvaro Morata\Alvaro-Morata,ESP,FW,Juventus,1992
Jan Morávek\Jan-Moravek,CZE,MF,Augsburg,1989
Jon Morcillo\Jon-Morcillo,ESP,MFFW,Athletic Club,1998
Jérémy Morel\Jeremy-Morel,MAD,DF,Lorient,1984
Alberto Moreno\Alberto-Moreno,ESP,DF,Villarreal,1992
Álex Moreno\Alex-Moreno,ESP,DF,Betis,1993
Gerard Moreno\Gerard-Moreno,ESP,FWMF,Villarreal,1992
Tete Morente\Tete-Morente,ESP,MFFW,Elche,1996
Mateu Morey\Mateu-Morey,ESP,DF,Dortmund,2000
Wes Morgan\Wes-Morgan,JAM,DF,Leicester City,1984
Raúl Moro\Raul-Moro,ESP,MF,Lazio,2002
Loren Morón\Loren-Moron,ESP,FWMF,Betis,1993
Pedro Mosquera\Pedro-Mosquera,ESP,MF,Huesca,1988
Aimen Moueffek\Aimen-Moueffek,FRA,DFMF,Saint-Étienne,2001
Youssoufa Moukoko\Youssoufa-Moukoko,GER,FWMF,Dortmund,2004
Harold Moukoudi\Harold-Moukoudi,CMR,DF,Saint-Étienne,1997
Jessy Moulin\Jessy-Moulin,FRA,GK,Saint-Étienne,1986
Steve Mounié\Steve-Mounie,BEN,FW,Brest,1994
Mason Mount\Mason-Mount,ENG,MFFW,Chelsea,1999
Lucas Moura\Lucas-Moura,BRA,FWMF,Tottenham,1992
Lys Mousset\Lys-Mousset,FRA,FWMF,Sheffield Utd,1996
João Moutinho\Joao-Moutinho,POR,MF,Wolves,1986
Samuel Moutoussamy\Samuel-Moutoussamy,COD,FW,Nantes,1996
Loris Mouyokolo\Loris-Mouyokolo,CGO,DF,Lorient,2001
Javi Moyano\Javi-Moyano,ESP,DF,Valladolid,1986
Nordi Mukiele\Nordi-Mukiele,FRA,DF,RB Leipzig,1997
Benoît Mukinayi\Benoit-Mukinayi,FRA,DF,Monaco,2001
Mert Müldür\Mert-Muldur,TUR,DF,Sassuolo,1999
Florian Müller\Florian-Muller,GER,GK,Freiburg,1997
Sebastian Müller\Sebastian-Muller,GER,MFDF,Arminia,2001
Thomas Müller\Thomas-Muller,GER,MF,Bayern Munich,1989
Joel Mumbongo\Joel-Mumbongo,SWE,FW,Burnley,1999
Marshall Munetsi\Marshall-Munetsi,ZIM,MFDF,Reims,1996
Iker Muniain\Iker-Muniain,ESP,MFFW,Athletic Club,1992
Aihen Muñoz\Aihen-Munoz,ESP,DF,Real Sociedad,1997
Joaquín Muñoz\Joaquin-Munoz,ESP,FW,Huesca,1999
Luis Muriel\Luis-Muriel,COL,FW,Atalanta,1991
Jeison Murillo\Jeison-Murillo,COL,DF,Celta Vigo,1992
Vedat Muriqi\Vedat-Muriqi,KVX,FW,Lazio,1994
Jacob Murphy\Jacob-Murphy,ENG,DFMF,Newcastle Utd,1995
Nicola Murru\Nicola-Murru,ITA,DF,Torino,1994
Petar Musa\Petar-Musa,CRO,FW,Union Berlin,1998
Mateo Musacchio\Mateo-Musacchio,ARG,DF,Lazio,1990
Mateo Musacchio\Mateo-Musacchio,ARG,DF,Milan,1990
Yunus Musah\Yunus-Musah,USA,MF,Valencia,2002
Jamal Musiala\Jamal-Musiala,GER,FWMF,Bayern Munich,2003
Juan Musso\Juan-Musso,ARG,GK,Udinese,1994
Shkodran Mustafi\Shkodran-Mustafi,GER,DF,Arsenal,1992
Shkodran Mustafi\Shkodran-Mustafi,GER,DF,Schalke 04,1992
Yoshinori Mutō\Yoshinori-Muto,JPN,FWMF,Eibar,1992
Phillipp Mwene\Phillipp-Mwene,AUT,DF,Mainz 05,1994
Joakim Mæhle\Joakim-Maehle,DEN,DF,Atalanta,1997
Obite N'Dicka\Obite-NDicka,FRA,DF,Eint Frankfurt,1999
Kévin N'Doram\Kevin-NDoram,FRA,MF,Metz,1996
Stanley N'Soki\Stanley-NSoki,FRA,DF,Nice,1999
Nacho\Nacho,ESP,DF,Valladolid,1989
Nacho\Nacho,ESP,DF,Real Madrid,1990
Yuto Nagatomo\Yuto-Nagatomo,JPN,DF,Marseille,1986
Kenny Nagera\Kenny-Nagera,FRA,FW,Paris S-G,2002
Radja Nainggolan\Radja-Nainggolan,BEL,MF,Cagliari,1988
Radja Nainggolan\Radja-Nainggolan,BEL,MF,Inter,1988
Marvelous Nakamba\Marvelous-Nakamba,ZIM,MF,Aston Villa,1994
Nahitan Nández\Nahitan-Nandez,URU,MFDF,Cagliari,1995
Nano\Nano,ESP,FWMF,Cádiz,1995
Paul Nardi\Paul-Nardi,FRA,GK,Lorient,1994
Matija Nastasić\Matija-Nastasic,SRB,DF,Schalke 04,1993
Roberto Navarro\Roberto-Navarro,ESP,MF,Real Sociedad,2002
Ximo Navarro\Ximo-Navarro,ESP,DF,Alavés,1990
Jesús Navas\Jesus-Navas,ESP,DF,Sevilla,1985
Keylor Navas\Keylor-Navas,CRC,GK,Paris S-G,1986
Raúl Navas\Raul-Navas,ESP,DF,Osasuna,1988
Papa Ndiaga Yade\Papa-Ndiaga-Yade,SEN,FWMF,Metz,2000
Iliman Ndiaye\Iliman-Ndiaye,FRA,MF,Sheffield Utd,1999
Wilfred Ndidi\Wilfred-Ndidi,NGA,MFDF,Leicester City,1996
Bridge Ndilu\Bridge-Ndilu,FRA,FWMF,Nantes,2000
Tanguy Ndombele\Tanguy-Ndombele,FRA,MF,Tottenham,1996
Dan Ndoye\Dan-Ndoye,SUI,FWMF,Nice,2000
Paul Nebel\Paul-Nebel,GER,MF,Mainz 05,2002
Álvaro Negredo\Alvaro-Negredo,ESP,FW,Cádiz,1985
Reiss Nelson\Reiss-Nelson,ENG,FW,Arsenal,1999
Ilija Nestorovski\Ilija-Nestorovski,MKD,FW,Udinese,1990
Neto\Neto,BRA,GK,Barcelona,1989
Pedro Neto\Pedro-Neto,POR,FWMF,Wolves,2000
Luca Netz\Luca-Netz,GER,DF,Hertha BSC,2003
Manuel Neuer\Manuel-Neuer,GER,GK,Bayern Munich,1986
Florian Neuhaus\Florian-Neuhaus,GER,MF,M'Gladbach,1997
Carlos Neva\Carlos-Neva,ESP,DF,Granada,1996
Rúben Neves\Ruben-Neves,POR,MF,Wolves,1997
Neymar\Neymar,BRA,MFFW,Paris S-G,1992
Yvan Neyou\Yvan-Neyou,CMR,MF,Saint-Étienne,1997
Jessic Ngankam\Jessic-Ngankam,GER,FW,Hertha BSC,2000
Muzinga Ngonda\Muzinga-Ngonda,COD,DF,Dijon,1994
Ahmad Ngouyamsa\Ahmad-Ngouyamsa,CMR,DF,Dijon,2000
Opa Nguette\Opa-Nguette,SEN,FWMF,Metz,1994
Moussa Niakhate\Moussa-Niakhate,FRA,DF,Mainz 05,1996
Ibrahima Niane\Ibrahima-Niane,SEN,FW,Metz,1999
M'Baye Niang\MBaye-Niang,SEN,FW,Rennes,1994
Mamor Niang\Mamor-Niang,SEN,FWMF,Getafe,2002
Florian Niederlechner\Florian-Niederlechner,GER,FW,Augsburg,1990
Nieto\Nieto,ESP,FWMF,Cádiz,1998
Saúl Ñíguez\Saul-Niguez,ESP,MFDF,Atlético Madrid,1994
Joakim Nilsson\Joakim-Nilsson,SWE,DF,Arminia,1994
Casimir Ninga\Casimir-Ninga,CHA,FW,Angers,1993
Nino\Nino,ESP,FWMF,Elche,1980
Fernando Niño\Fernando-Nino,ESP,FW,Villarreal,2000
Eddie Nketiah\Eddie-Nketiah,ENG,FW,Arsenal,1999
Nicolas Nkoulou\Nicolas-Nkoulou,CMR,DF,Torino,1990
Niels Nkounkou\Niels-Nkounkou,FRA,DFFW,Everton,2000
Christopher Nkunku\Christopher-Nkunku,FRA,FWMF,RB Leipzig,1997
Dan Nlundulu\Dan-Nlundulu,ENG,FW,Southampton,1999
Mark Noble\Mark-Noble,ENG,MF,West Ham,1987
Nolito\Nolito,ESP,MFFW,Celta Vigo,1986
Arnaud Nordin\Arnaud-Nordin,FRA,MFFW,Saint-Étienne,1998
Håvard Nordtveit\Havard-Nordtveit,NOR,DF,Hoffenheim,1990
Will Norris\Will-Norris,ENG,GK,Burnley,1993
Oliver Norwood\Oliver-Norwood,NIR,MF,Sheffield Utd,1991
Olivier Ntcham\Olivier-Ntcham,FRA,MF,Marseille,1996
Alexander Nübel\Alexander-Nubel,GER,GK,Bayern Munich,1996
Kasim Nuhu\Kasim-Nuhu,GHA,DF,Hoffenheim,1995
Unai Núñez\Unai-Nunez,ESP,DF,Athletic Club,1997
Bram Nuytinck\Bram-Nuytinck,NED,DF,Udinese,1990
Kelechi Nwakali\Kelechi-Nwakali,NGA,MFFW,Huesca,1998
Simeon Nwankwo\Simeon-Nwankwo,NGA,FW,Crotone,1992
Gerzino Nyamsi\Gerzino-Nyamsi,FRA,DF,Rennes,1997
Allan Nyom\Allan-Nyom,CMR,MFDF,Getafe,1988
M'Bala Nzola\MBala-Nzola,ANG,FW,Spezia,1996
Steven Nzonzi\Steven-Nzonzi,FRA,MF,Rennes,1988
Jack O'Connell\Jack-OConnell,ENG,DF,Sheffield Utd,1994
Dara O'Shea\Dara-OShea,IRL,DF,West Brom,1999
Michael Obafemi\Michael-Obafemi,IRL,FW,Southampton,2000
Pedro Obiang\Pedro-Obiang,EQG,MF,Sassuolo,1992
Jan Oblak\Jan-Oblak,SVN,GK,Atlético Madrid,1993
Lucas Ocampos\Lucas-Ocampos,ARG,FW,Sevilla,1994
Bastian Oczipka\Bastian-Oczipka,GER,DF,Schalke 04,1989
Brain Oddei\Brain-Oddei,ITA,MFFW,Sassuolo,2002
Denis Odoi\Denis-Odoi,BEL,DF,Fulham,1988
Álvaro Odriozola\Alvaro-Odriozola,ESP,DF,Real Madrid,1995
Angelo Ogbonna\Angelo-Ogbonna,ITA,DF,West Ham,1988
Stefano Okaka\Stefano-Okaka,ITA,FW,Udinese,1989
Shinji Okazaki\Shinji-Okazaki,JPN,FW,Huesca,1986
Masaya Okugawa\Masaya-Okugawa,JPN,MF,Arminia,1996
Lucas Olaza\Lucas-Olaza,URU,DF,Valladolid,1994
Lucas Olaza\Lucas-Olaza,URU,DF,Celta Vigo,1994
Christian Oliva\Christian-Oliva,URU,MF,Cagliari,1996
Christian Oliva\Christian-Oliva,URU,MF,Valencia,1996
Kiko Olivas\Kiko-Olivas,ESP,DFMF,Valladolid,1988
Paulo Oliveira\Paulo-Oliveira,POR,DF,Eibar,1992
Mathías Olivera\Mathias-Olivera,URU,DF,Getafe,1997
Maximiliano Olivera\Maximiliano-Olivera,URU,DF,Fiorentina,1992
Dani Olmo\Dani-Olmo,ESP,MFFW,RB Leipzig,1998
Robin Olsen\Robin-Olsen,SWE,GK,Everton,1990
Jonas Omlin\Jonas-Omlin,SUI,GK,Montpellier,1994
Jerome Onguene\Jerome-Onguene,CMR,DF,Genoa,1997
Karim Onisiwo\Karim-Onisiwo,AUT,FW,Mainz 05,1992
Josh Onomah\Josh-Onomah,ENG,MF,Fulham,1997
Javier Ontiveros\Javier-Ontiveros,ESP,FWMF,Huesca,1997
Henry Onyekuru\Henry-Onyekuru,NGA,FW,Monaco,1997
Willi Orban\Willi-Orban,HUN,DF,RB Leipzig,1992
Fabián Orellana\Fabian-Orellana,CHI,MFFW,Valladolid,1986
Divock Origi\Divock-Origi,BEL,FW,Liverpool,1995
