Player,Nation,Pos,Squad,Born
George Baldock\George-Baldock,ENG,DF,Sheffield Utd,1993
Gareth Bale\Gareth-Bale,WAL,FW,Tottenham,1989
Mikel Balenziaga\Mikel-Balenziaga,ESP,DF,Athletic Club,1988
Leonardo Balerdi\Leonardo-Balerdi,ARG,DF,Marseille,1999
Fodé Ballo-Touré\Fode-Ballo-Toure,SEN,DF,Monaco,1997
Botond Balogh\Botond-Balogh,HUN,DF,Parma,2002
Abdoulaye Bamba\Abdoulaye-Bamba,CIV,DF,Angers,1990
Jonathan Bamba\Jonathan-Bamba,FRA,MF,Lille,1996
Robson Bambu\Robson-Bambu,BRA,DF,Nice,1997
Patrick Bamford\Patrick-Bamford,ENG,FW,Leeds United,1993
Mattia Bani\Mattia-Bani,ITA,DF,Genoa,1993
Mattia Bani\Mattia-Bani,ITA,DF,Parma,1993
Simon Banza\Simon-Banza,FRA,FW,Lens,1996
Antonín Barák\Antonin-Barak,CZE,MFFW,Hellas Verona,1994
Federico Barba\Federico-Barba,ITA,DF,Benevento,1993
Danilo Barbosa\Danilo-Barbosa,BRA,DF,Nice,1996
Barcia\Barcia,ESP,DF,Granada,2000
Melvin Bard\Melvin-Bard,FRA,DF,Lyon,2000
Enis Bardhi\Enis-Bardhi,MKD,MF,Levante,1995
Phil Bardsley\Phil-Bardsley,SCO,DF,Burnley,1985
Nicolò Barella\Nicolo-Barella,ITA,MF,Inter,1997
Philipp Bargfrede\Philipp-Bargfrede,GER,MF,Werder Bremen,1989
Kike Barja\Kike-Barja,ESP,MFFW,Osasuna,1997
Ross Barkley\Ross-Barkley,ENG,MF,Aston Villa,1993
Ross Barkley\Ross-Barkley,ENG,MF,Chelsea,1993
Aymen Barkok\Aymen-Barkok,MAR,FWMF,Eint Frankfurt,1998
Ashley Barnes\Ashley-Barnes,ENG,FW,Burnley,1989
Harvey Barnes\Harvey-Barnes,ENG,FWMF,Leicester City,1997
Marc Baró\Marc-Baro,ESP,DF,Cádiz,1999
Antonio Barragán\Antonio-Barragan,ESP,DF,Elche,1987
Antonio Barreca\Antonio-Barreca,ITA,DF,Fiorentina,1995
Leandro Barreiro Martins\Leandro-Barreiro-Martins,LUX,MF,Mainz 05,2000
