Unnamed: 0,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected,Expected.1,Expected.2,Expected.3,Expected.4
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2114,1,3,2,66.7,0.7,0.47,0.33,0.5,10.5,0,0,0,0.9,0.9,0.3,0.1,0.1
2115,9,62,20,32.3,2.92,0.94,0.15,0.45,18.8,1,0,0,5.2,5.2,0.08,3.8,3.8
2116,1,14,4,28.6,2.41,0.69,0.07,0.25,20.7,0,0,0,1.3,1.3,0.09,-0.3,-0.3
2117,0,1,0,0,0.16,0,0,0,13,0,0,0,0,0,0.03,0,0
2118,2,9,4,44.4,0.68,0.3,0.22,0.5,18.1,0,0,0,0.8,0.8,0.09,1.2,1.2
2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,0,1,1,100,1.36,1.36,0,0,68.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2121,0,5,2,40,6.43,2.57,0,0,20.5,1,0,0,0.6,0.6,0.11,-0.6,-0.6
2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,8,32,12,37.5,1.32,0.49,0.25,0.67,13,0,0,0,5.5,5.5,0.17,2.5,2.5
2124,0,10,2,20,0.42,0.08,0,0,20.6,1,0,0,0.8,0.8,0.08,-0.8,-0.8
2125,0,1,0,0,0.06,0,0,0,11.2,0,0,0,0,0,0.04,0,0
2126,5,45,14,31.1,2.99,0.93,0.11,0.36,13.4,0,0,0,5,5,0.11,0,0
2127,0,1,0,0,0.18,0,0,0,22.2,0,0,0,0,0,0.05,0,0
2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129,0,11,1,9.1,0.45,0.04,0,0,22.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3
2130,1,8,2,25,1,0.25,0.13,0.5,16.1,0,0,0,0.5,0.5,0.07,0.5,0.5
2131,0,7,1,14.3,1.78,0.25,0,0,26.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
2132,1,39,11,28.2,2.18,0.61,0.03,0.09,16.1,3,0,0,4.5,4.5,0.12,-3.5,-3.5
2133,1,18,5,27.8,0.64,0.18,0.06,0.2,25.3,0,0,0,0.7,0.7,0.04,0.3,0.3
2134,3,20,5,25,0.99,0.25,0.15,0.6,13.9,0,0,0,1.9,1.9,0.09,1.1,1.1
2135,0,4,2,50,1.69,0.85,0,0,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2137,3,28,11,39.3,1.16,0.46,0.11,0.27,15.1,0,0,0,4.1,4.1,0.15,-1.1,-1.1
2138,1,4,2,50,1.23,0.62,0.25,0.5,17,0,0,0,0.3,0.3,0.07,0.7,0.7
2139,1,16,3,18.8,0.72,0.13,0.06,0.33,23,4,0,0,0.8,0.8,0.05,0.2,0.2
2140,1,17,2,11.8,0.53,0.06,0.06,0.5,13.2,0,0,0,2.6,2.6,0.17,-1.6,-1.6
2141,4,43,16,37.2,2.23,0.83,0.09,0.25,13.9,0,0,0,5.4,5.4,0.13,-1.4,-1.4
2142,3,17,7,41.2,2.03,0.84,0.18,0.43,13.8,0,0,0,2.2,2.2,0.13,0.8,0.8
2143,13,77,25,32.5,3.14,1.02,0.14,0.44,18.1,1,2,3,11,8.7,0.11,2,2.3
2144,6,34,16,47.1,2.07,0.98,0.15,0.31,17.5,1,1,1,5.9,5.1,0.15,0.1,-0.1
2145,2,8,3,37.5,2.11,0.79,0.25,0.67,21.3,0,0,0,0.3,0.3,0.04,1.7,1.7
2146,1,8,3,37.5,0.6,0.23,0.13,0.33,25.2,0,0,0,0.3,0.3,0.04,0.7,0.7
2147,0,4,1,25,2.16,0.54,0,0,14.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
2148,0,6,1,16.7,3.6,0.6,0,0,17.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4
2149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,4,34,12,35.3,1.32,0.47,0.12,0.33,16.3,0,0,0,3,3,0.09,1,1
2151,1,35,10,28.6,1.44,0.41,0.03,0.1,22.2,0,0,0,1.6,1.6,0.04,-0.6,-0.6
2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,0,7,0,0,0.56,0,0,0,22.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
2154,1,15,6,40,2.21,0.88,0.07,0.17,18.2,0,0,0,1.7,1.7,0.11,-0.7,-0.7
