Unnamed: 0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Vs Dribbles,Vs Dribbles.1,Vs Dribbles.2,Vs Dribbles.3,Pressures,Pressures.1,Pressures.2,Pressures.3,Pressures.4,Pressures.5,Blocks,Blocks.1,Blocks.2,Blocks.3,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Rk,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
530,54,27,16,25,13,18,51,35.3,33,342,103,30.1,122,133,87,55,1,0,54,43,97,56,0
531,66,47,37,22,7,23,50,46,27,425,151,35.5,187,168,70,53,4,0,49,35,101,94,1
532,21,9,14,7,0,9,16,56.3,7,117,31,26.5,73,29,15,25,2,0,23,13,34,32,0
533,31,23,23,8,0,14,37,37.8,23,203,71,35,149,52,2,59,39,2,20,25,56,163,1
534,41,30,17,14,10,13,31,41.9,18,320,87,27.2,89,155,76,19,2,0,17,15,56,15,0
535,21,11,12,6,3,10,25,40,15,130,32,24.6,71,39,20,17,0,0,17,15,36,36,0
536,39,26,25,9,5,17,40,42.5,23,242,73,30.2,134,72,36,39,9,0,30,22,61,38,1
537,8,5,0,8,0,4,11,36.4,7,131,39,29.8,27,52,52,9,0,0,9,2,10,1,0
538,40,24,26,12,2,10,21,47.6,11,245,88,35.9,149,88,8,47,30,2,17,52,92,177,2
539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,2,2,1,1,0,0,2,0,2,32,6,18.8,5,20,7,0,0,0,0,1,3,2,0
541,1,1,1,0,0,0,1,0,1,4,3,75,2,2,0,0,0,0,0,0,1,0,0
542,20,12,9,9,2,8,27,29.6,19,320,102,31.9,56,133,131,24,0,0,24,12,32,5,0
543,58,36,48,10,0,32,68,47.1,36,329,131,39.8,209,106,14,67,35,0,32,45,103,189,3
544,7,5,2,4,1,1,5,20,4,124,40,32.3,7,58,59,9,1,0,8,0,7,1,0
545,0,0,0,0,0,0,1,0,1,9,1,11.1,9,0,0,0,0,0,0,0,0,2,0
546,1,1,1,0,0,0,0,0,0,8,4,50,5,2,1,1,0,0,1,1,2,1,0
547,30,18,20,8,2,10,30,33.3,20,128,37,28.9,70,43,15,17,4,0,13,24,54,18,0
548,76,47,48,27,1,34,58,58.6,24,291,115,39.5,181,102,8,45,31,0,14,53,129,123,1
