Unnamed: 0,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9
Rk,xG,xA,xG+xA,npxG,npxG+xA
549,0.03,0.06,0.09,0.03,0.09
550,0,0.9,0.9,0,0.9
551,0.03,0.07,0.1,0.03,0.1
552,0,0,0,0,0
553,0.11,0,0.11,0.11,0.11
554,0.01,0.11,0.12,0.01,0.12
555,0.44,0.11,0.54,0.44,0.54
556,0.26,0.1,0.36,0.26,0.36
557,0.02,0.02,0.04,0.02,0.04
558,0.11,0.14,0.25,0.11,0.25
559,0.09,0.13,0.22,0.09,0.22
560,0.29,0.21,0.5,0.28,0.49
561,0.39,0.09,0.48,0.36,0.46
562,0.02,0.08,0.09,0.02,0.09
563,0,0,0,0,0
564,0.04,0.06,0.1,0.04,0.1
565,0,0,0,0,0
566,0.01,0.12,0.14,0.01,0.14
567,0.14,0,0.14,0.14,0.14
568,0.43,0.07,0.49,0.43,0.49
569,0.6,0.14,0.74,0.27,0.41
570,0,0.05,0.05,0,0.05
571,0.04,0.19,0.23,0.04,0.23
572,0.16,0.07,0.23,0.16,0.23
573,0.02,0.08,0.09,0.02,0.09
574,0,0,0,0,0
575,0,0,0,0,0
576,0.04,0.14,0.17,0.04,0.17
577,0.26,0.05,0.31,0.19,0.24
578,0.04,0.07,0.1,0.04,0.1
579,0.06,0.06,0.12,0.06,0.12
580,0.03,0,0.03,0.03,0.03
581,0.19,0.11,0.3,0.19,0.3
582,0,0,0,0,0
583,0.53,0.12,0.65,0.53,0.65
584,0.02,0.03,0.05,0.02,0.05
585,0,0.01,0.01,0,0.01
586,0,0,0,0,0
587,0.03,0.17,0.19,0.03,0.19
588,0.05,0.02,0.07,0.01,0.03
589,0.09,0.04,0.13,0.09,0.13
590,0,0.52,0.52,0,0.52
591,0,0.02,0.02,0,0.02
592,0.08,0.3,0.38,0.05,0.35
593,0.02,0.03,0.04,0.02,0.04
594,0,0,0,0,0
595,0.16,0.07,0.23,0.16,0.23
596,0.05,0.08,0.13,0.05,0.13
597,0.08,0.06,0.14,0.08,0.14
598,0,0,0,0,0
599,0.34,0.21,0.55,0.24,0.45
600,0.02,0,0.02,0.02,0.02
601,0.61,0,0.61,0.61,0.61
602,0.09,0,0.09,0.09,0.09
603,0.46,0.14,0.6,0.46,0.6
604,0.04,0.03,0.08,0.04,0.08
605,0.06,0,0.06,0.06,0.06
606,0.02,0.02,0.04,0.02,0.04
607,0.17,0.01,0.18,0.17,0.18
608,0.06,0.02,0.08,0.06,0.08
609,0.09,0.03,0.12,0.09,0.12
610,0.46,0.09,0.55,0.39,0.48
611,0.02,0.07,0.09,0.02,0.09
612,0,0,0,0,0
613,0.04,0.08,0.12,0.04,0.12
614,0,0,0,0,0
615,0.12,0.05,0.18,0.12,0.18
616,0.06,0.1,0.16,0.06,0.16
617,0.12,0.14,0.26,0.12,0.26
618,0.05,0.02,0.06,0.05,0.06
619,0.04,0.11,0.14,0.04,0.14
620,0.02,0,0.02,0.02,0.02
621,0,0.05,0.05,0,0.05
622,0.07,0.02,0.09,0.07,0.09
623,0.03,0.05,0.07,0.03,0.07
624,0.03,0.01,0.04,0.03,0.04
625,0.01,0.02,0.03,0.01,0.03
626,0.07,0.27,0.34,0.07,0.34
627,0,0,0,0,0
628,0.1,0.12,0.21,0.1,0.21
629,0,0.02,0.02,0,0.02
630,0.38,0.12,0.5,0.38,0.5
631,0.01,0.04,0.05,0.01,0.05
632,0.01,0.04,0.06,0.01,0.06
633,0.01,0.06,0.07,0.01,0.07
634,0.34,0.16,0.49,0.34,0.49
635,0,0,0,0,0
636,0.06,0,0.07,0.06,0.07
637,0.08,0,0.08,0.08,0.08
638,0.44,0.46,0.9,0.34,0.79
639,0.03,0,0.03,0.03,0.03
640,0.18,0.28,0.47,0.12,0.4
641,0.11,0,0.11,0.11,0.11
642,0.01,0.09,0.1,0.01,0.1
643,0.1,0.04,0.13,0.1,0.13
644,0,0.08,0.08,0,0.08
645,0.05,0.05,0.1,0.05,0.1
646,0.11,0.07,0.18,0.11,0.18
647,0.19,0.09,0.28,0.19,0.28
648,0.05,0.1,0.15,0.05,0.15
649,0.02,0.05,0.08,0.02,0.08
650,0.17,0.3,0.47,0.17,0.47
651,0,0,0,0,0
652,0.06,0.04,0.1,0.06,0.1
653,0.03,0.01,0.04,0.03,0.04
654,0.06,0,0.06,0.06,0.06
655,0.02,0.16,0.18,0.02,0.18
656,0,0,0,0,0
657,0.03,0,0.03,0.03,0.03
658,0.39,0.21,0.61,0.37,0.58
659,0.01,0.03,0.04,0.01,0.04
660,0.92,0.02,0.95,0.92,0.95
661,0.51,0.09,0.59,0.51,0.59
662,0.29,0.25,0.54,0.29,0.54
663,0.07,0.01,0.07,0.07,0.07
664,0.12,0.13,0.26,0.12,0.26
665,0.28,0.19,0.47,0.28,0.47
666,0.08,0.09,0.17,0.08,0.17
667,0.02,0,0.02,0.02,0.02
668,0.12,0.03,0.14,0.12,0.14
669,0.31,0.1,0.4,0.31,0.4
670,0.1,0.22,0.33,0.1,0.33
671,0,0,0,0,0
672,0.02,0.03,0.05,0.02,0.05
673,0.18,0.07,0.25,0.18,0.25
674,0,0.07,0.07,0,0.07
675,0.55,0.42,0.97,0.36,0.78
676,0,0,0,0,0
677,0.02,0.01,0.03,0.02,0.03
678,0,0,0,0,0
679,0,0,0,0,0
680,0.12,0.12,0.24,0.12,0.24
681,0.38,0.04,0.42,0.38,0.42
