Unnamed: 0,Expected,Expected.1,Expected.2,Expected.3
Rk,xG,npxG,xA,npxG+xA
552,0,0,0,0
553,0.1,0.1,0,0.1
554,0,0,0.3,0.3
555,7.4,7.4,1.8,9.3
556,3.1,3.1,1.2,4.4
557,0.3,0.3,0.3,0.5
558,2.3,2.3,2.9,5.2
559,2.5,2.5,3.4,6
560,7.6,7.4,5.7,13.1
561,8.3,7.8,2,9.8
562,0.2,0.2,1,1.2
563,0,0,0,0
564,1,1,1.3,2.3
565,0,0,0,0
566,0.2,0.2,1.7,1.8
567,0.2,0.2,0,0.2
568,0.7,0.7,0.1,0.9
569,1.4,0.6,0.3,1
570,0,0,0,0
571,0.1,0.1,0.7,0.8
572,2,2,0.9,2.9
573,0.1,0.1,0.3,0.4
574,0,0,0,0
575,0,0,0,0
576,1.2,1.2,4.6,5.9
577,2.8,2.1,0.5,2.6
578,0.7,0.7,1.3,1.9
579,0.1,0.1,0.1,0.2
580,0.7,0.7,0,0.7
581,3.2,3.2,1.8,5
582,0,0,0,0
583,3.9,3.9,0.9,4.7
584,0.4,0.4,0.4,0.8
585,0,0,0.2,0.2
586,0,0,0,0
587,0.9,0.9,5.9,6.9
588,0.9,0.1,0.4,0.5
589,2.2,2.2,0.9,3.1
590,0,0,0.2,0.2
591,0,0,0.5,0.5
592,2,1.2,7.2,8.4
593,0.5,0.5,0.6,1.1
594,0,0,0,0
595,2.5,2.5,1.1,3.7
596,1.7,1.7,3,4.8
597,0.9,0.9,0.7,1.6
598,0,0,0,0
599,8.1,5.8,5,10.8
600,0.2,0.2,0,0.2
601,0.2,0.2,0,0.2
602,0.2,0.2,0,0.2
603,0.5,0.5,0.2,0.7
604,0.2,0.2,0.2,0.3
605,1.5,1.5,0.1,1.6
606,0.3,0.3,0.2,0.5
607,1.3,1.3,0.1,1.4
608,1.8,1.8,0.6,2.4
609,1.2,1.2,0.3,1.5
610,5.1,4.3,1,5.3
611,0.3,0.3,1,1.3
612,0,0,0,0
613,0.5,0.5,1.2,1.7
614,0,0,0,0
615,4.6,4.6,2.1,6.7
616,0.7,0.7,1.2,1.9
