Unnamed: 0,SCA,SCA.1,SCA Types,SCA Types.1,SCA Types.2,SCA Types.3,SCA Types.4,SCA Types.5,GCA,GCA.1,GCA Types,GCA Types.1,GCA Types.2,GCA Types.3,GCA Types.4,GCA Types.5
Rk,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
204,39,3.59,26,8,2,0,2,1,6,0.55,4,1,1,0,0,0
205,36,2.43,25,0,0,5,4,2,2,0.14,0,0,0,1,1,0
206,68,3.15,44,0,8,7,8,1,8,0.37,5,0,2,0,1,0
207,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0
208,22,0.89,15,2,2,1,2,0,7,0.28,3,1,2,0,1,0
209,1,1.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,31,1.21,25,1,2,0,3,0,2,0.08,2,0,0,0,0,0
211,31,2.13,25,0,2,2,1,1,4,0.28,4,0,0,0,0,0
212,7,0.57,7,0,0,0,0,0,1,0.08,1,0,0,0,0,0
213,106,3.27,74,13,8,9,2,0,11,0.34,8,2,0,1,0,0
214,9,0.31,7,0,0,2,0,0,1,0.03,1,0,0,0,0,0
215,7,1.97,6,1,0,0,0,0,2,0.56,2,0,0,0,0,0
216,7,0.37,6,0,0,0,0,1,1,0.05,1,0,0,0,0,0
217,13,2.95,8,4,0,0,0,1,1,0.23,1,0,0,0,0,0
218,22,0.77,18,0,2,0,2,0,1,0.03,1,0,0,0,0,0
219,52,1.8,28,8,4,2,5,5,3,0.1,0,1,2,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,31,0.95,26,0,0,2,2,1,4,0.12,4,0,0,0,0,0
222,46,2.72,28,12,5,1,0,0,8,0.47,4,3,1,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,20,2.47,13,1,4,0,2,0,2,0.25,1,0,0,0,1,0
225,18,0.65,10,0,0,4,2,2,1,0.04,1,0,0,0,0,0
226,13,3.3,9,3,1,0,0,0,0,0,0,0,0,0,0,0
227,2,0.06,1,1,0,0,0,0,0,0,0,0,0,0,0,0
228,23,1.93,18,0,0,1,4,0,2,0.17,1,0,0,1,0,0
229,79,3,51,2,3,5,14,4,11,0.42,7,0,1,0,3,0
230,9,2.19,7,0,0,2,0,0,1,0.24,1,0,0,0,0,0
231,15,0.52,12,1,0,1,0,1,3,0.1,3,0,0,0,0,0
232,1,2.5,1,0,0,0,0,0,1,2.5,1,0,0,0,0,0
233,71,2.9,56,0,8,3,3,1,14,0.57,8,0,3,2,1,0
234,19,0.62,15,0,0,1,1,2,0,0,0,0,0,0,0,0
235,37,3.01,28,0,3,3,3,0,9,0.73,7,0,1,0,1,0
236,9,0.49,6,1,0,0,2,0,3,0.16,2,1,0,0,0,0
237,14,0.41,12,1,0,1,0,0,2,0.06,2,0,0,0,0,0
238,12,2.06,10,0,1,0,1,0,2,0.34,1,0,0,0,1,0
239,7,0.71,6,0,0,0,1,0,1,0.1,0,0,0,0,1,0
240,2,2.28,0,1,1,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,19,2.87,14,0,0,2,3,0,1,0.15,1,0,0,0,0,0
